species group name	protonym	 Author
echinatior	Atta (Acromyrmex) octospinosa var. echinatior 	Forel, 1899c: 34 
eidmanni	Acromyrmex (Acromyrmex) subterraneus var. eidmanni 	Santschi, 1937f: 232
ekchuah	Acromyrmex octospinosus subsp. ekchuah 	Wheeler, W.M. 1937c: 73 
emilii	Atta (Acromyrmex) emilii 	Forel, 1904c: 32 
erectus	Acromyrmex ambiguus var. erectus 	Santschi, 1925a: 384
fallax	Acromyrmex hispidus var. fallax 	Santschi, 1925a: 377 
ferrugineus	Atta (Acromyrmex) lobicornis var. ferruginea 	Emery, 1905c: 52 
flavescens	Acromyrmex coronatus st. andicola var. flavescens 	Santschi, 1925d: 239 
formosus	Acromyrmex hispidus st. formosus 	Santschi, 1925a: 377 
fracticornis	Atta (Moellerius) fracticornis 	Forel, 1909a: 257 
fuhrmanni	Atta (Acromyrmex) mesonotalis var. fuhrmanni 	Forel, 1914e: 10 
gallardoi	Sericomyrmex gallardoi 	Santschi, 1920d: 379 
gallardoi	Acromyrmex gallardoi 	Santschi, 1936d: 411 
garbei	Acromyrmex laticeps st. garbei 	Santschi, 1925a: 381 
gaudens	Acromyrmex (Moellerius) heyeri var. gaudens 	Santschi, 1925a: 386 
globoculis	Acromyrmex coronatus subsp. globoculis 	Weber, 1946b: 151
guentheri	Atta (Acromyrmex) guentheri 	Forel, 1893e: 594 
heyeri	Atta (Moellerius) heyeri 	Forel, 1899c: 31 
hispidus	Acromyrmex hispidus 	Santschi, 1925a: 376 
homalops	Atta (Acromyrmex) muticinoda var. homalops 	Emery, 1905c: 47
hortulanus	Acromyrmex laticeps var. hortulanus 	Santschi, 1925a: 381 
hystricolundii	Atta (Acromyrmex) lundii var. risii var. hystricolundii 	Forel, 1908c: 350 
hystrix	Formica hystrix 	Latreille, 1802c: 230
importunus	Acromyrmex coronatus st. importunus 	Santschi, 1925a: 362 
inquirens	Atta (Acromyrmex) mesonotalis var. inquirens 	Forel, 1914e: 11 
insinuator	Acromyrmex insinuator 	Schultz, Bekkevold & Boomsma, 1998: 466
insularis	Acromyrmex aspersus var. insularis 	Santschi, 1925d: 242 
inti	Acromyrmex octospinosus subsp. inti 	Wheeler, W.M. 1937c: 72 
jorgenseni	Acromyrmex (Moellerius) fracticornis var. jorgenseni 	Forel, 1913l: 236 
laeviventris	Acromyrmex (Moellerius) striatus var. laeviventris 	Santschi, 1925a: 388
landolti	Atta (Acromyrmex) landolti 	Forel, 1885a: 357 
laticeps	Atta (Acromyrmex) laticeps 	Emery, 1905c: 50
lillensis	Acromyrmex (Moellerius) heyeri var. lillensis 	Santschi, 1925a: 386 
lobicornis	Atta (Acromyrmex) lobicornis 	Emery, 1888c: 358 
lundii	Myrmica lundii 	Guérin-Méneville, 1838: 206 
medianus	Acromyrmex coronatus st. andicola var. medianus 	Santschi, 1925a: 367 
mediocris	Acromyrmex diabolicus var. mediocris 	Santschi, 1925d: 241 
meinerti	Atta (Acromyrmex) moelleri st. meinerti 	Forel, 1893e: 599 
mesonotalis	Atta (Acromyrmex) mesonotalis 	Emery, 1905c: 46
mesopotamicus	Acromyrmex (Moellerius) mesopotamicus 	Gallardo, 1916d: 337
mixtus	Acromyrmex subterraneus var. mixtus 	Santschi, 1925a: 373 
modesta	Atta (Acromyrmex) moelleri r. modesta 	Forel, 1901h: 49 
moelleri	Atta (Acromyrmex) moelleri 	Forel, 1893e: 596 
molestans	Acromyrmex subterraneus st. molestans 	Santschi, 1925a: 373 
multituber	Acromyrmex (Moellerius) balzani var. multituber 	Santschi, 1922b: 362 
muticinoda	Atta (Acromyrmex) nigra r. muticinoda 	Forel, 1901e: 336 
myersi	Acromyrmex (Moellerius) balzani subsp. myersi 	Weber, 1937: 408 
navarroi	Acromyrmex rugosus var. navarroi 	Borgmeier, 1937b: 249 
niger	Oecodoma nigra 	Smith, F. 1858b: 186 
nigripes	Acromyrmex lundi st. boliviensis var. nigripes 	Santschi, 1929d: 304 
nigrosetosus	Atta (Acromyrmex) nigrosetosa 	Forel, 1908c: 350 
nivalis	Acromyrmex (Moellerius) landolti var. nivalis 	Santschi, 1922b: 362 
nobilis	Acromyrmex (Acromyrmex) nobilis 	Santschi, 1939e: 317 
obscurior	Acromyrmex coronatus st. moelleri var. obscurior 	Santschi, 1925d: 240 
ochraceolus	Acromyrmex coronatus st. ochraceolus 	Santschi, 1925a: 365
octospinosus	Formica octospinosa 	Reich, 1793: 132 
ogloblini	Acromyrmex subterraneus var. ogloblini 	Santschi, 1933e: 121 
ornatus	Acromyrmex coronatus st. ochraceolus var. ornatus 	Santschi, 1925a: 365 
pallida	Oecodoma pallida 	Smith, F. 1858b: 187 
pallida	Acromyrmex octospinosa var. pallida 	Crawley, 1921: 92 
pampanus	Acromyrmex (Moellerius) balzani subsp. pampanus 	Weber, 1938b: 200 
parens	Acromyrmex (Moellerius) landolti var. parens 	Santschi, 1925d: 239 
pencosensis	Acromyrmex lobicornis var. pencosensis 	Forel, 1914d: 282 
peruvianus	Acromyrmex (Acromyrmex) subterraneus var. peruvianus 	Borgmeier, 1940: 606 
planorum	Acromyrmex (Moellerius) balzani subsp. planorum 	Weber, 1937: 409 
pruinosior	Acromyrmex lobicornis var. pruinosior 	Santschi, 1916e: 388
pubescens	Atta (Acromyrmex) pubescens 	Emery, 1905c: 51
pulchella	Acromyrmex nigrosetosa st. pulchella 	Santschi, 1925b: 18 
pulvereus	Acromyrmex (Moellerius) pulvereus 	Santschi, 1919f: 52 
purensis	Atta (Acromyrmex) subterranea var. purensis 	Forel, 1912e: 181 
rectispinus	Atta (Acromyrmex) moelleri subsp. rectispina 	Forel, 1908b: 41 
risii	Atta (Acromyrmex) lundii var. risii 	Forel, 1908c: 350
rochai	Atta (Acromyrmex) rugosus var. rochai 	Forel, 1904c: 34 
rufescens	Acromyrmex hispidus st. formosus var. rufescens 	Santschi, 1925a: 377
rufidens	Acromyrmex lobicornis var. rufidens 	Santschi, 1933e: 120 
rugosus	Oecodoma rugosa 	Smith, F. 1858b: 186 
rusticus	Acromyrmex crassispinus st. rusticus 	Santschi, 1925a: 375 
santschii	Atta (Acromyrmex) aspersa var. santschii 	Forel, 1912e: 182 
senex	Acromyrmex (Moellerius) balzani var. senex 	Santschi, 1925a: 389 
silvestrii	Atta (Moellerius) silvestrii 	Emery, 1905c: 42 
striatus	Atta striata 	Roger, 1863a: 202 
subterraneus	Atta (Acromyrmex) subterranea 	Forel, 1893e: 593 
vestitus	Acromyrmex rugosus var. vestitus 	Santschi, 1925a: 380 
volcanus	Acromyrmex octospinosus subsp. volcanus 	Wheeler, W.M. 1937c: 73 
ayanganna	Acropyga ayanganna 	LaPolla, 2004a: 71
berwicki	Acropyga (Rhizomyrma) berwicki 	Wheeler, W.M. 1935f: 325
borgmeieri	Acropyga (Rhizomyrma) borgmeieri 	Donisthorpe, 1939c: 153 
bruchi	Acropyga (Rhizomyrma) bruchi 	Santschi, 1929d: 308 
bugnioni	Acropyga acutiventris subsp. bugnioni 	Forel, 1911i: 226 
butteli	Acropyga (Atopodon) butteli 	Forel, 1912m: 772 
carinata	Acropyga acutiventris var. carinata 	Karavaiev, 1933a: 310 
columbica	Rhizomyrma goeldii var. columbica 	Forel, 1912i: 61 
crassicornis	Acropyga crassicornis 	Emery, 1900d: 698 
decedens	Brachymyrmex decedens 	Mayr, 1887: 521 
distinguenda	Acropyga (Atopodon) distinguenda 	Karavaiev, 1935a: 110
donisthorpei	Acropyga (Rhizomyrma) donisthorpei 	Weber, 1944: 118
dubia	Acropyga (Rhizomyrma) dubia 	Karavaiev, 1933a: 311
dubitata	Rhizomyrma dubitata 	Wheeler, W.M. & Mann, 1914: 47 
epedana	Acropyga epedana 	Snelling, R.R. 1973a: 7
exsanguis	Rhizomyrma exsanguis 	Wheeler, W.M. 1909b: 238 
flava	Plagiolepis flava 	Mayr, 1862: 699 
fuhrmanni	Rhizomyrma fuhrmanni 	Forel, 1914e: 12 
gelasis	Acropyga gelasis 	LaPolla, 2004a: 62
goeldii	Acropyga (Rhizomyrma) goeldii 	Forel, 1893g: 348 
gowdeyi	Acropyga gowdeyi 	Gowdey, 1917: 187 UGANDA
guangxiensis	Acropyga (Rhizomyrma) guangxiensis 	Terayama, Fellowes & Zhou, 2002: 23
guianensis	Acropyga (Rhizomyrma) guianensis 	Weber, 1944: 120
hirsutula	Acropyga hirsutula 	LaPolla, 2004a: 52
hystrix	Acropyga hystrix 	LaPolla, 2004a: 63
indistincta	Acropyga indistincta 	Crawley, 1923b: 178 
indosinensis	Acropyga (Rhizomyrma) indosinensis 	Wheeler, W.M. 1935c: 72
inezae	Acropyga (Atopodon) inezae 	Forel, 1912m: 772 
javana	Acropyga (Acropyga) acutiventris var. javana 	Karavaiev, 1933a: 308 
jiangxiensis	Acropyga (Atopodon) jiangxiensis 	Wang, C. & Wu, 1992a: 226
kathrynae	Acropyga (Rhizomyrma) kathrynae 	Weber, 1944: 114
keira	Acropyga keira 	LaPolla, 2004a: 53
kinomurai	Acropyga (Rhizomyrma) kinomurai 	Terayama & Hashimoto, 1996: 7
lauta	Acropyga (Rhizomyrma) lauta 	Mann, 1919: 365 
major	Acropyga (Rhizomyrma) major 	Donisthorpe, 1949c: 755 
marshalli	Rhizomyrma marshalli 	Crawley, 1921: 93
meermohri	Atopodon meermohri 	Stärcke, 1930: 375
mesonotalis	Acropyga (Rhizomyrma) mesonotalis 	Weber, 1944: 111
moluccana	Acropyga moluccana 	Mayr, 1879: 658 
myops	Acropyga myops 	Forel, 1910b: 59 
mysolensis	Acropyga moluccana subsp. mysolensis 	Forel, 1911e: 285 
