species group name	protonym	 Author
pestiferum	Crematogaster laestrygon subsp. pestiferum 	Athias-Henriot, 1947: 249
petiolidens	Crematogaster (Decacrema) petiolidens 	Forel, 1916: 412 
pevsnerae	Crematogaster distans r. pevsnerae 	Forel, 1912f: 218 
pfeifferi	Crematogaster pfeifferi 	Hosoishi & Ogata, 2017: 11
pharaonis	Crematogaster egyptiaca st. pharaonis 	Santschi, 1914a: 432 
philippinensis	Crematogaster philippinensis 	Hosoishi & Ogata, 2016a: 593
phoenica	Crematogaster laestrygon st. phoenica 	Santschi, 1915a: 59 
phoenix	Crematogaster (Sphaerocrema) phoenix 	Santschi, 1921c: 116 
physothorax	Crematogaster deformis r. physothorax 	Emery, 1889b: 506 
phytoeca	Crematogaster sculpturata subsp. phytoeca 	Wheeler, W.M. 1934g: 173 
pia	Crematogaster tumidula subsp. pia 	Forel, 1911d: 384 
picata	Crematogaster (Paracrema) spengeli var. picata 	Emery, 1922e: 156
piceus	Crematogaster piceus 	Lowne, 1865: 335 
pilosa	Crematogaster lineolata subsp. pilosa 	Emery, 1895c: 285 
placens	Crematogaster longiclava var. placens 	Forel, 1911d: 384 
platygnatha	Formica platygnatha 	Roger, 1863a: 168 
pluton	Crematogaster (Crematogaster) meneliki st. proserpina var. pluton 	Santschi, 1919h: 87 
polita	Crematogaster politus 	Smith, F. 1865: 74 
politula	Crematogaster subnuda r. politula 	Forel, 1902c: 207 
polymorphica	Crematogaster (Atopogyne) africana subsp. polymorphica 	Weber, 1943c: 357 
popohana	Crematogaster popohana 	Forel, 1912a: 69 
poststriata	Crematogaster (Decacrema) solenopsides st. flavida var. poststriata 	Santschi, 1921c: 118 
pradipi	Crematogaster pradipi 	Tiwari, 1999: 49
prelli	Crematogaster nigriceps subsp. prelli 	Forel, 1911d: 368 
*primitiva	Crematogaster primitiva 	Radchenko & Dlussky, 2019: 418
projecta	Crematogaster (Orthocrema) brevispinosa st. projecta 	Santschi, 1925d: 230 
proletaria	Crematogaster (Neocrema) montezumia var. proletaria 	Santschi, 1933e: 113 
pronotalis	Crematogaster pronotalis 	Santschi, 1914d: 347
proserpina	Crematogaster (Crematogaster) meneliki st. proserpina 	Santschi, 1919h: 87 
pseudinermis	Crematogaster pseudinermis 	Viehmeyer, 1923: 88
pudica	Crematogaster (Acrocoelia) gerstaeckeri var. pudica 	Santschi, 1930b: 69
pulchella	Crematogaster (Orthocrema) pulchella 	Bernard, 1953b: 230
pulla	Crematogaster (Crematogaster) sjostedti var. pulla 	Wheeler, W.M. 1922a: 844
pullipes	Crematogaster (Neocrema) distans st. rugiceps var. pullipes 	Santschi, 1920d: 379 
punctinodis	Crematogaster (Acrocoelia) lineolata subsp. cerasi var. punctinodis 	Enzmann, J. 1946c: 91
punctulata	Crematogaster punctulata 	Emery, 1895c: 287 
pygmaea	Crematogaster pygmaea 	Forel, 1904c: 37 
pygmalion	Crematogaster (Acrocoelia) phoenica var. pygmalion 	Santschi, 1934d: 276 
pythia	Crematogaster pythia 	Forel, 1915b: 53 
quadriceps	Crematogaster quadriceps 	Smith, F. 1858b: 140 
quadriformis	Crematogaster quadriformis 	Roger, 1863a: 207 
quadriruga	Crematogaster biroi var. quadriruga 	Forel, 1911h: 455 
quadrispinosa	Crematogaster quadrispinosa 	Roger, 1863a: 208 
queenslandica	Crematogaster sordidula var. queenslandica 	Forel, 1902h: 410 
quisquilia	Crematogaster castanea st. rufonigra var. quisquilia 	Santschi, 1916b: 502 
rabula	Crematogaster subnuda r. rabula 	Forel, 1902c: 207 
ralumensis	Crematogaster ralumensis 	Forel, 1901b: 16 
ramamy	Crematogaster ramamy 	Blaimer, in Blaimer & Fisher, 2013b: 48
ramulinida	Crematogaster sulcata var. ramulinida 	Forel, 1899c: 84 
ranavalonae	Crematogaster ranavalonis 	Forel, 1887: 388 
ransonneti	Crematogaster ransonneti 	Mayr, 1868c: 287 
raptor	Crematogaster raptor 	Longino, 2003a: 99
rasoherinae	Crematogaster rasoherinae 	Forel, 1891b: 194 
rauana	Crematogaster gallicola var. rauana 	Forel, 1907a: 22 
razana	Crematogaster razana 	Blaimer, 2012b: 55
rectangulata	Crematogaster scutellaris subsp. schmidti var. rectangulata 	Viehmeyer, 1923: 89 
rectinota	Crematogaster sordidula r. rectinota 	Forel, 1913a: 126 
recurva	Crematogaster recurva 	Emery, 1897d: 556
recurvispina	Crematogaster brevispinosa r. recurvispina 	Forel, 1912f: 212 
rediana	Myrmica rediana 	Gené, 1841: 399 
regilla	Crematogaster (Acrocoelia) auberti st. regilla 	Santschi, 1937e: 302 
resulcata	Crematogaster resulcata 	Bolton, 1995b: 161
retiaria	Crematogaster (Acrocoelia) amabilis var. retiaria 	Santschi, 1933b: 101 
reticulata	Crematogaster (Orthocrema) reticulata 	Hosoishi, 2009: 259
retifera	Crematogaster (Acrocoelia) retifera 	Santschi, 1926b: 216 
retusa	Crematogaster (Atopogyne) wellmani st. retusa 	Santschi, 1916b: 500 
rhodesiana	Crematogaster bulawayensis var. rhodesiana 	Arnold, 1920a: 532
rifelna	Crematogaster (Crematogaster) rifelna 	Buren, 1968b: 96 
rivai	Crematogaster rivai 	Emery, 1897e: 598
robusta	Crematogaster robusta 	Emery, 1877b: 379 
rochai	Crematogaster rochai 	Forel, 1903c: 255 
rogans	Crematogaster sordidula r. rogans 	Forel, 1902h: 411 
rogenhoferi	Crematogaster rogenhoferi 	Mayr, 1879: 683 
rogeri	Crematogaster (Acrocoelia) rogeri 	Emery, 1922e: 151 
ronganensis	Crematogaster ronganensis 	Zhou, 2001b: 77
roslihashimi	Crematogaster roslihashimi 	Feldhaar, et al. 2016: 664
rossi	Crematogaster (Crematogaster) rossi 	Buren, 1968b: 111 
rothneyi	Crematogaster rothneyi 	Mayr, 1879: 685 
roveretoi	Crematogaster quadriformis r. roveretoi 	Forel, 1913l: 234 
rubriceps	Myrmica rubriceps 	Nylander, 1849: 44 
rudis	Crematogaster rudis 	Emery, in von Jhering, 1894: 395 
rufa	Myrmica rufa 	Jerdon, 1851: 114 
rufescens	Crematogaster (Crematogaster) sjostedti var. rufescens 	Wheeler, W.M. 1922a: 844
ruficeps	Acrocoelia ruficeps 	Mayr, 1853a: 147 
rufigena	Crematogaster rufigena 	Arnold, 1958: 123
rufimembrum	Crematogaster tricolor st. rufimembrum 	Santschi, 1914a: 431 
rufonigra	Crematogaster tricolor subsp. rufonigra 	Emery, 1895h: 27 
rufotestacea	Crematogaster rufotestacea 	Mayr, 1876: 109 
rufula	Crematogaster (Sphaerocrema) libengensis var. rufula 	Santschi, 1926b: 227 
rugaticeps	Crematogaster (Sphaerocrema) rugosa var. rugaticeps 	Santschi, 1919h: 87 
rugiceps	Crematogaster distans var. rugiceps 	Forel, 1911c: 301 
ruginota	Crematogaster subnuda var. ruginota 	Forel, 1903a: 684
rugosa	Crematogaster rugosa 	André, 1895a: 3 
rugosior	Crematogaster luctans st. rugosior 	Santschi, 1910c: 375 
ruspolii	Crematogaster ruspolii 	Forel, 1892b: 142 
russata	Crematogaster (Orthocrema) brevispinosa subsp. russata 	Wheeler, W.M. 1925a: 24 
russoi	Crematogaster (Orthocrema) russoi 	Menozzi & Russo, 1930: 155
rustica	Crematogaster (Sphaerocrema) rustica 	Santschi, 1935a: 259 
sabatra	Crematogaster sabatra 	Blaimer, 2010: 28
saganensis	Crematogaster (Acrocoelia) nigriceps subsp. saganensis 	Consani, in Menozzi & Consani, 1952: 65
sagei	Crematogaster sagei 	Forel, 1902c: 204 
saharensis	Crematogaster aegyptiaca var. saharensis 	Santschi, 1921d: 72 
salvazai	Crematogaster walshi st. bouvardi var. salvazai 	Santschi, 1920h: 161 
sampaioi	Crematogaster brevispinosa r. sampaioi 	Forel, 1912f: 213 
sanguinea	Crematogaster sanguinea 	Roger, 1863a: 208 
santschii	Crematogaster santschii 	Forel, 1913b: 322 
sapora	Crematogaster impressa var. sapora 	Forel, 1916: 408 
sarawakana	Crematogaster modiglianii var. sarawakana 	Forel, 1911a: 25 
satan	Crematogaster menileki r. satan 	Forel, 1916: 407 
satanula	Crematogaster menileki r. satan var. satanula 	Forel, 1916: 407 
saussurei	Crematogaster saussurei 	Forel, 1899c: 86 
savinae	Crematogaster auberti subsp. savinae 	Zimmermann, 1935: 25 
scabrida	Crematogaster subdentata subsp. kaschgariensis var. scabrida 	Ruzsky, 1905b: 501 
scabrula	Crematogaster froggatti var. scabrula 	Emery, 1914b: 184 
scapamaris	Crematogaster (Neocrema) scapamaris 	Santschi, 1922d: 244 
scelerata	Crematogaster (Oxygyne) scelerata 	Santschi, 1917f: 279 
schencki	Crematogaster schenki 	Forel, 1891b: 182
schereri	Crematogaster stadelmanni var. schereri 	Forel, 1911e: 273 
schimmeri	Crematogaster schimmeri 	Forel, 1912a: 69 
schmidti	Acrocoelia schmidti 	Mayr, 1853a: 149 
schultzei	Crematogaster schultzei 	Forel, 1910f: 6 
schumanni	Crematogaster africana subsp. schumanni 	Mayr, 1895: 144 
schuppi	Crematogaster brevispinosa var. schuppi 	Forel, 1901d: 299 
scita	Crematogaster scita 	Forel, 1902h: 409 
scrutans	Crematogaster scrutans 	Forel, 1910c: 258 
sculpticeps	Crematogaster frivola var. sculpticeps 	Forel, 1907h: 279 
sculpturata	Crematogaster sculpturata 	Pergande, 1896: 876 
scurra	Crematogaster brevispinosa subsp. tumulifera var. scurra 	Forel, 1914c: 615 
scutellaris	Formica scutellaris 	Olivier, 1792: 497 
sejuncta	Crematogaster sejuncta 	Stitz, 1916: 387
sellula	Crematogaster chiarinii st. sellula 	Santschi, 1914a: 431 
sembilana	Crematogaster (Decacrema) borneensis subsp. sembilana 	Forel, 1911d: 385 
semiclara	Crematogaster (Sphaerocrema) bequaerti var. semiclara 	Santschi, 1928d: 66 
semisericea	Crematogaster (Orthocrema) brevispinosa st. sericea var. semisericea 	Santschi, 1923c: 249 
semperi	Crematogaster semperi 	Emery, 1893g: 263
senegalensis	Crematogaster senegalensis 	Roger, 1863a: 206 
sericea	Crematogaster brevispinosa r. sericea 	Forel, 1912f: 214 
sewellii	Crematogaster inermis r. sewellii 	Forel, 1891b: 196
sic	Crematogaster buddhae r. sic 	Forel, 1907a: 24 
sikkimensis	Crematogaster (Oxygyne) dalyi var. sikkimensis 	Forel, 1904c: 24 
simboloni	Crematogaster simboloni 	Hosoishi & Ogata, 2014: 64
simia	Crematogaster tricolor var. simia 	Forel, 1910f: 6 
similis	Crematogaster similis 	Stitz, 1911b: 388
simoni	Crematogaster simoni 	Emery, 1893g: 263
sisa	Crematogaster sisa 	Blaimer, 2010: 29
sjostedti	Crematogaster sjostedti 	Mayr, 1907b: 17 
skounensis	Crematogaster skounensis 	Soulié, in Fromantin & Soulié, 1961: 99
smithi	Crematogaster (Orthocrema) minutissima subsp. smithi 	Creighton, 1950a: 205
smythiesii	Crematogaster biroi var. smythiesii 	Forel, 1902c: 203 
snellingi	Crematogaster snellingi 	Longino, 2003a: 104
soengeiensis	Crematogaster tumidula var. soengeiensis 	Forel, 1913k: 77 
solenopsides	Crematogaster solenopsides 	Emery, 1899e: 487 
solers	Crematogaster solers 	Forel, 1910f: 7 
sordida	Crematogaster auberti var. sordida 	Forel, 1909c: 104
sordidoides	Crematogaster (Sphaerocrema) luctans var. sordidoides 	Santschi, 1930c: 269 
sordidula	Myrmica sordidula 	Nylander, 1849: 44 
sorokini	Crematogaster auberti var. sorokini 	Ruzsky, 1905b: 494 
soror	Crematogaster (Oxygyne) soror 	Forel, 1902c: 200 
sotobosque	Crematogaster sotobosque 	Longino, 2003a: 106
sotolongoi	Crematogaster sanguinea subsp. sotolongoi 	Mann, 1920: 425 
spengeli	Crematogaster spengeli 	Forel, 1912n: 56 
spinozai	Crematogaster egidyi subsp. spinozai 	Forel, 1911a: 25 
spissata	Crematogaster (Nematocrema) stadelmanni var. spissata 	Santschi, 1937g: 80
spuria	Crematogaster gallicola r. spuria 	Forel, 1913b: 323 
stadelmanni	Crematogaster stadelmanni 	Mayr, 1895: 140 
staitchi	Crematogaster foraminiceps r. staitchi 	Forel, 1915c: 339 
stanleyi	Crematogaster (Atopogyne) africana var. stanleyi 	Wheeler, W.M. 1922a: 852
steinheili	Crematogaster steinheili 	Forel, 1881: 15 
stenocephala	Crematogaster (Acrocoelia) stenocephala 	Emery, 1922e: 145 
stethogompha	Crematogaster (Physocrema) stethogompha 	Wheeler, W.M. 1919e: 75 
stigmata	Crematogaster stigmata 	Santschi, 1914d: 344
stigmatica	Crematogaster goeldii var. stigmatica 	Forel, 1911c: 301 
stollii	Crematogaster stollii 	Forel, 1885a: 373 
stolonis	Crematogaster (Atopogyne) africana st. stolonis 	Santschi, 1937g: 78
storki	Crematogaster storki 	Hosoishi & Ogata, 2016a: 597
striaticeps	Crematogaster laestrygon var. striaticeps 	Forel, 1909c: 104
striatinota	Crematogaster brevispinosa var. striatinota 	Forel, 1912f: 211 
striatula	Crematogaster striatulus 	Emery, 1892c: liii 
subcircularis	Crematogaster subcircularis 	Mayr, 1879: 685 
subdentata	Crematogaster subdentata 	Mayr, 1877: 19 
submaura	Crematogaster laestrygon var. submaura 	Lomnicki, 1925b: 1 
subnuda	Crematogaster subnuda 	Mayr, 1879: 682 
subopaca	Crematogaster lineolata var. subopaca 	Wheeler, W.M. 1910g: 564
subpilosa	Crematogaster lineolata subsp. subpilosa 	Wheeler, W.M. 1913c: 115 U
subsulcata	Crematogaster chiarinii st. subsulcata 	Santschi, 1914a: 432 
subsulcata	Crematogaster (Atopogyne) subsulcata 	Santschi, 1932a: 386 
subtilis	Crematogaster irritabilis var. subtilis 	Viehmeyer, 1914b: 32 
subtonsa	Crematogaster (Orthocrema) brevispinosa var. subtonsa 	Santschi, 1925d: 229 
suddensis	Crematogaster (Crematogaster) menileki subsp. suddensis 	Weber, 1943c: 356 
suehiro	Crematogaster suehiro 	Terayama, 1999f: 726
sulcata	Crematogaster sulcata 	Mayr, 1870a: 403 
sumichrasti	Crematogaster sumichrasti 	Mayr, 1870b: 993 
sundaica	Crematogaster subnuda var. sundaica 	Forel, 1909d: 225 
sundalandensis	Crematogaster sundalandensis 	Hosoishi & Ogata, 2016a: 600
surbeki	Crematogaster (Paracrema) modiglianii var. surbeki 	Santschi, 1925f: 90 
surcoufi	Crematogaster auberti st. surcoufi 	Santschi, 1937e: 313 
surdior	Crematogaster sumichrasti st. surdior 	Forel, 1885a: 375 
suturalis	Crematogaster abstinens var. suturalis 	Forel, 1912f: 216 
sycites	Crematogaster australis var. sycites 	Forel, 1916: 406 
symbia	Crematogaster (Decacrema) borneensis subsp. symbia 	Forel, 1911a: 34 
szaboi	Crematogaster egidyi var. szaboi 	Forel, 1913d: 437 
taediosa	Crematogaster taediosa 	Forel, 1894b: 98 
tagala	Crematogaster subnuda subsp. politula var. tagala 	Forel, 1910d: 124 
taipingensis	Crematogaster spengeli r. taipingensis 	Forel, 1913k: 75
taivanae	Crematogaster tumidula var. taivanae 	Forel, 1913f: 194 
tanakai	Crematogaster (Physocrema) tanakai 	Hosoishi & Ogata, 2009b: 29
tanganikana	Crematogaster (Acrocoelia) castanea st. bruta var. tanganikana 	Santschi, 1926b: 214 
taperensis	Crematogaster (Neocrema) scelerata var. taperensis 	Borgmeier, 1937b: 234 
targuia	Crematogaster (Acrocoelia) aegyptiaca st. senegalensis var. targuia 	Santschi, 1929e: 148 
tarsata	Crematogaster tarsata 	Smith, F. 1865: 74 
tavaratra	Crematogaster tavaratra 	Blaimer, in Blaimer & Fisher, 2013a: 23
tenuicula	Crematogaster longispina r. tenuicula 	Forel, 1904c: 36 
tenuipilis	Crematogaster (Acrocoelia) mimosae var. tenuipilis 	Santschi, 1937a: 55 
tenuispina	Crematogaster scutellaris r. tenuispina 	Forel, 1902a: 154 
teranishii	Crematogaster (Acrocoelia) brunnea st. teranishii 	Santschi, 1930c: 265 
terminalis	Myrmica terminalis 	Shuckard, 1838: 627 
terricola	Crematogaster (Orthocrema) terricola 	Borgmeier, 1929: 210
tetracantha	Crematogaster tetracantha 	Emery, 1887b: 467
texana	Crematogaster (Acrocoelia) opaca var. texana 	Santschi, 1929f: 91 
thais	Crematogaster excisa r. andrei var. thais 	Forel, 1913a: 126 
thalia	Crematogaster brevispinosa var. thalia 	Forel, 1911e: 273 
themis	Crematogaster (Orthocrema) brevispinosa st. minutior var. themis 	Santschi, 1925d: 230 
theryi	Crematogaster auberti st. theryi 	Santschi, 1921d: 71 
theta	Crematogaster africana var. theta 	Forel, 1911f: 278 
thoracica	Crematogaster (Atopogyne) africana st. thoracica 	Santschi, 1921c: 118 
thoracica	Crematogaster (Orthocrema) minutissima subsp. thoracica 	Creighton, 1939b: 138 
tibialis	Crematogaster (Atopogyne) africana subsp. tibialis 	Santschi, in Wheeler, W.M. 1922a: 157 
togoensis	Crematogaster (Atopogyne) togoensis 	Donisthorpe, 1945d: 270 
torosa	Crematogaster torosa 	Mayr, 1870a: 404 
torrei	Crematogaster sanguinea var. torrei 	Wheeler, W.M. 1913b: 490 
townsendi	Crematogaster (Orthocrema) brevispinosa subsp. townsendi 	Wheeler, W.M. 1925a: 25 
transiens	Crematogaster buchneri r. transiens 	Forel, 1913b: 324 
transvaalensis	Crematogaster transvaalensis 	Forel, 1894b: 96 
transversiruga	Crematogaster gambiensis var. transversiruga 	Santschi, 1914d: 346 
transversiruginota	Crematogaster buchneri r. winkleri var. transversiruginota 	Forel, 1916: 410 
trautweini	Crematogaster (Oxygyne) trautweini 	Viehmeyer, 1914b: 33 
travancorensis	Crematogaster (Oxygyne) travancorensis 	Forel, 1902c: 200 
treubi	Crematogaster treubi 	Emery, 1896f: 246 
tricolor	Crematogaster tricolor 	Gerstäcker, 1859: 263 
tricoloroides	Crematogaster (Acrocoelia) gerstaeckeri st. sjostedti var. tricoloroides 	Santschi, 1937a: 55 
tropicorum	Crematogaster capensis subsp. tropicorum 	Forel, 1910e: 435 
tsisitsilo	Crematogaster tsisitsilo 	Blaimer, in Blaimer & Fisher, 2013a: 26
tubuli	Crematogaster (Decacrema) borneensis subsp. hosei var. tubuli 	Viehmeyer, 1916a: 126 
tucumanensis	Crematogaster brevispinosa r. moelleri var. tucumanensis 	Forel, 1914d: 271 
tumidula	Crematogaster tumidula 	Emery, 1900d: 689
tumulicula	Crematogaster brevispinosa subsp. tumulifera var. tumulicula 	Forel, 1909a: 258 
tumulifera	Crematogaster brevispinosa var. tumulifera 	Forel, 1899c: 84 
turbida	Crematogaster (Orthocrema) victima st. nitidiceps var. turbida 	Santschi, 1925d: 231 
turkanensis	Crematogaster (Acrocoelia) aegyptiaca var. turkanensis 	Santschi, 1935b: 271 
uasina	Crematogaster (Atopogyne) buchneri var. uasina 	Santschi, 1935b: 271 
udo	Crematogaster sordidula var. udo 	Forel, 1905c: 20 
ugandensis	Crematogaster muralti st. ugandensis 	Santschi, 1914b: 99 
ulugurensis	Crematogaster ferruginea var. ulugurensis 	Forel, 1911d: 369 
unciata	Crematogaster (Orthocrema) unciata 	Santschi, 1925d: 228 
uruguayensis	Crematogaster atra st. uruguayensis 	Santschi, 1912e: 527 
urvijae	Crematogaster (Crematogaster) urvijae 	Bharti, 2003c: 85
ustiventris	Crematogaster (Orthocrema) ustiventris 	Menozzi, 1935a: 110
ustus	Crematogaster dhornii var. ustus 	Forel, 1903a: 681 
vacca	Crematogaster deformis subsp. vacca 	Forel, 1911d: 384 
vagula	Crematogaster (Acrocoelia) matsumurai subsp. vagula 	Wheeler, W.M. 1928d: 110 
vanda	Crematogaster distans subsp. vanda 	Borgmeier, 1929: 209 
vandeli	Crematogaster (Acrocoelia) vandeli 	Soulié, in Fromantin & Soulié, 1961: 100
vandermeermohri	Crematogaster (Paracrema) vandermeermohri 	Menozzi, 1930a: 1
variegata	Crematogaster africana var. variegata 	Mayr, 1902: 294 
vastatrix	Crematogaster treubi var. vastatrix 	Forel, 1911a: 24 
vaucheri	Crematogaster laestrygon subsp. vaucheri 	Emery, 1926: 2
vermiculata	Crematogaster vermiculata 	Emery, 1895c: 286 
vezenyii	Crematogaster quadriformis subsp. vezenyii 	Forel, 1907a: 25 
vicina	Crematogaster vicina 	André, 1893b: 151 
victima	Crematogaster victima 	Smith, F. 1858b: 140 
victoriosa	Crematogaster acaciae st. victoriosa 	Santschi, 1916b: 497 
vidua	Crematogaster (Acrocoelia) vidua 	Santschi, 1928d: 62 
viehmeyeri	Crematogaster (Acrocoelia) viehmeyeri 	Santschi, 1921c: 117 
vitalisi	Crematogaster (Atopogyne) vitalisi 	Menozzi, 1925c: 448 
vivax	Crematogaster (Acrocoelia) laestrygon var. vivax 	Santschi, 1937e: 308
v-nigra	Crematogaster chiarinii var. v-nigrum 	Forel, 1910e: 434: 
voeltzkowi	Crematogaster voeltzkowi 	Forel, 1907g: 78 
vogti	Crematogaster auberti var. vogti 	Forel, 1909c: 103 
vogtiiberica	Crematogaster inermis subsp. auberti var. vogtiiberica 	Emery, 1926: 3 
volamena	Crematogaster volamena 	Blaimer, 2012b: 59
vulcania	Crematogaster vulcania 	Santschi, 1913a: 413 
walshi	Crematogaster walshi 	Forel, 1902c: 205 
warburgi	Crematogaster (Acrocoelia) warburgi 	Menozzi, 1933b: 59
wardi	Crematogaster wardi 	Longino, 2003a: 123
wasmanni	Crematogaster wasmanni 	Santschi, 1910c: 376
weberi	Crematogaster weberi 	Emery, 1911c: 254
weissi	Crematogaster wellmani var. weissi 	Santschi, 1910c: 376 
weitzeckeri	Crematogaster weitzeckeri 	Emery, 1895h: 28
wellmani	Crematogaster wellmani 	Forel, 1909b: 64 
werneri	Crematogaster werneri 	Mayr, 1907a: 388 
wheeleri	Crematogaster (Rhachiocrema) wheeleri 	Mann, 1919: 318
wheldeni	Crematogaster (Acrocoelia) lineolata subsp. cerasi var. wheldeni 	Enzmann, J. 1946c: 92 
whitei	Crematogaster whitei 	Wheeler, W.M. 1915g: 808 
wighti	Crematogaster vicina var. wighti 	Wheeler, W.M. 1908b: 161 
wilnigra	Crematogaster nigeriensis var. wilniger 	Forel, 1916: 405 
wilwerthi	Crematogaster wilwerthi 	Santschi, 1910c: 372
winkleri	Crematogaster africana var. winkleri 	Forel, 1909b: 69 
wladimiri	Crematogaster wladimiri 	Consani, 1953: 100
wroughtonii	Crematogaster wroughtonii 	Forel, 1902c: 206 
xerophila	Crematogaster xerophila 	Wheeler, W.M. 1915g: 810 
yaharai	Crematogaster yaharai 	Hosoishi & Ogata, 2019: 9
yambatensis	Crematogaster ferruginea var. yambatensis 	Forel, 1913h: 353 
yappi	Crematogaster yappi 	Forel, 1901e: 374 
yorubosa	Crematogaster (Acrocoelia) brunneipennis var. yorubosa 	Santschi, 1933b: 102 
zavattarii	Crematogaster (Sphaerocrema) zavattarii 	Menozzi, 1926a: 39 
zeta	Crematogaster (Atopogyne) laurenti var. zeta 	Emery, 1922e: 155
zoceensis	Crematogaster (Acrocoelia) laboriosa var. zoceensis 	Santschi, 1925f: 85 
zonacaciae	Crematogaster (Sphaerocrema) zonacaciae 	Weber, 1943c: 359
zulu	Crematogaster (Atopogyne) bulawayensis var. zulu 	Wheeler, W.M. 1922a: 855
zumpti	Crematogaster (Acrocoelia) impressa st. brazzai var. zumpti 	Santschi, 1937b: 99 
boltoni	Adelomyrmex boltoni 	Fernández, 2003b: 14
longinodus	Adelomyrmex longinodus 	Fernández & Brandão, in Fernández, 2003b: 20
anommata	Ponera anommata 	Donisthorpe, 1948b: 301 
arabica	Cryptopone arabica 	Collingwood & Agosti, 1996: 310 
butteli	Cryptopone butteli 	Forel, 1913k: 9
crassicornis	Belonopelta crassicornis 	Emery, 1897d: 553 
emeryi	Cryptopone emeryi 	Donisthorpe, 1943a: 168 
fusciceps	Cryptopone fusciceps 	Emery, 1900c: 321
fuscior	Cryptopone mayri var. fuscior 	Mann, 1919: 294 
gilva	Ponera gilva 	Roger, 1863a: 170 
guatemalensis	Ponera ochracea r. guatemalensis 	Forel, 1899c: 16 
harnedi	Euponera (Trachymesopus) gilva subsp. harnedi 	Smith, M.R. 1929: 543 
hartwigi	Cryptopone hartwigi 	Arnold, 1948: 213
holmgreni	Euponera (Trachymesopus) holmgreni 	Wheeler, W.M. 1925a: 6 
mayri	Cryptopone mayri 	Mann, 1919: 293 
minor	Cryptopone mayri var. minor 	Mann, 1919: 294 
mirabilis	Pachycondyla mirabilis 	Mackay & Mackay, 2010: 466
mjobergi	Ponera mjobergi 	Forel, 1915b: 22
motschulskyi	Cryptopone motschulskyi 	Donisthorpe, 1943a: 167 
nicobarensis	Cryptopone nicobarensis 	Forel, 1905b: 166 
obsoleta	Euponera (Trachymesopus) obsoleta 	Menozzi, 1931d: 196
ochracea	Ponera ochracea 	Mayr, 1855: 390 
pseudogigas	Cryptopone pseudogigas 	Zhou & Zheng, 1997a: 49
recticlypea	Cryptopone recticlypea 	Xu, 1998c: 162
rotundiceps	Euponera (Trachymesopus) rotundiceps 	Emery, 1914f: 397
sarawakana	Cryptopone sarawakana 	Wheeler, W.M. 1933g: 11
sauteri	Pachycondyla (Pseudoponera) sauteri 	Wheeler, W.M. 1906c: 304
sicula	Euponera (Pseudoponera) ochracea subsp. sicula 	Emery, 1909c: 365 
sinensis	Cryptopone sinensis 	Wang, M. 1992: 677
subterranea	Cryptopone subterranea 	Bharti & Wachkoo, 2013b: 3
taivanae	Euponera (Trachymesopus) taivanae 	Forel, 1913f: 184 
takahashii	Euponera (Trachymesopus) takahashii 	Wheeler, W.M. 1930a: 94 
tengu	Cryptopone tengu 	Terayama, 1999a: 8
typhlos	Ponera typhlos 	Karavaiev, 1935a: 73
abscondita	Cyatta abscondita 	Sosa-Calvo, Schultz, et al. 2013: 5
boliviae	Cylindromyrmex (Metacylindromyrmex) boliviae 	Wheeler, W.M. 1924a: 104
brasiliensis	Cylindromyrmex brasiliensis 	Emery, 1901a: 53 
brevitarsus	Cylindromyrmex brevitarsus 	Santschi, 1925b: 5 
darlingtoni	Cylindromyrmex (Hypocylindromyrmex) darlingtoni 	Wheeler, W.M. 1937b: 441 
escobari	Cylindromyrmex escobari 	De Andrade, 1998a: 616
godmani	Cylindromyrmex godmani 	Forel, 1899c: 4
longiceps	Cylindromyrmex longiceps 	André, 1892a: 47 
meinerti	Cylindromyrmex meinerti 	Forel, 1905b: 155 
parallelus	Cylindromyrmex parallelus 	Santschi, 1932e: 410
schmidti	Cylindromyrmex (Metacylindromyrmex) schmidti 	Menozzi, 1931d: 191
striatus	Cylindromyrmex striatus 	Mayr, 1870b: 967 
tibialis	Cylindromyrmex (Hypocylindromyrmex) striatus var. tibialis 	Stitz, 1932a: 367 
whymperi	Holcoponera whymperi 	Cameron, 1891: 92
williamsi	Cylindromyrmex williamsi 	Wheeler, W.M. 1924a: 101
spinosa	Cyphoidris spinosus 	Weber, 1952a: 26
werneri	Cyphoidris werneri 	Bolton, 1981b: 259 
acutus	Cyphomyrmex acutus 	Weber, 1940a: 409 
arnoldi	Cyphomyrmex rimosus var. arnoldi 	Aguayo, 1932: 223 
atrata	Atta (Cyphomyrmex) rimosa r. atrata 	Forel, 1912e: 188 
bicarinatus	Cyphomyrmex bicarinatus 	Snelling, R.R. & Longino, 1992: 492
bicornis	Cyphomyrmex bicornis 	Forel, 1895j: 179 
castagnei	Cyphomyrmex castagnei 	Mackay & Baena, 1993: 32
championi	Cyphomyrmex championi 	Forel, 1899c: 41
cochunae	Cyphomyrmex rimosus subsp. cochunae 	Kusnezov, 1949d: 439 
colombianus	Cyphomyrmex colombianus 	Weber, 1940a: 413 
comalensis	Cyphomyrmex rimosus var. comalensis 	Wheeler, W.M. 1907c: 719
cornutus	Cyphomyrmex cornutus 	Kempf, 1968a: 35
costatus	Cyphomyrmex costatus 	Mann, 1922: 44 
