species group name	protonym	 Author
617: disciger	Atta discigera 	Mayr, 1887: 551 
618: dubia	Atta (	Acromyrmex) laticeps var. dubia Forel, 1908c: 350 
619: echinatior	Atta (	Acromyrmex) octospinosa var. echinatior Forel, 1899c: 34 
620: eidmanni	Acromyrmex (	Acromyrmex) subterraneus var. eidmanni Santschi, 1937f: 232
622: ekchuah	Acromyrmex octospinosus subsp. ekchuah 	Wheeler, W.M. 1937c: 73 
623: emilii	Atta (	Acromyrmex) emilii Forel, 1904c: 32 
624: erectus	Acromyrmex ambiguus var. erectus 	Santschi, 1925a: 384
626: fallax	Acromyrmex hispidus var. fallax 	Santschi, 1925a: 377 
627: ferrugineus	Atta (	Acromyrmex) lobicornis var. ferruginea Emery, 1905c: 52 
628: flavescens	Acromyrmex coronatus st. andicola var. flavescens 	Santschi, 1925d: 239 
629: formosus	Acromyrmex hispidus st. formosus 	Santschi, 1925a: 377 
630: fracticornis	Atta (	Moellerius) fracticornis Forel, 1909a: 257 
632: fuhrmanni	Atta (	Acromyrmex) mesonotalis var. fuhrmanni Forel, 1914e: 10 
634: gallardoi	Sericomyrmex gallardoi 	Santschi, 1920d: 379 
635: gallardoi	Acromyrmex gallardoi 	Santschi, 1936d: 411 
636: garbei	Acromyrmex laticeps st. garbei 	Santschi, 1925a: 381 
637: gaudens	Acromyrmex (	Moellerius) heyeri var. gaudens Santschi, 1925a: 386 
638: globoculis	Acromyrmex coronatus subsp. globoculis 	Weber, 1946b: 151
639: guentheri	Atta (	Acromyrmex) guentheri Forel, 1893e: 594 
640: heyeri	Atta (	Moellerius) heyeri Forel, 1899c: 31 
642: hispidus	Acromyrmex hispidus 	Santschi, 1925a: 376 
643: homalops	Atta (	Acromyrmex) muticinoda var. homalops Emery, 1905c: 47
644: hortulanus	Acromyrmex laticeps var. hortulanus 	Santschi, 1925a: 381 
645: hystricolundii	Atta (	Acromyrmex) lundii var. risii var. hystricolundii Forel, 1908c: 350 
646: hystrix	Formica hystrix 	Latreille, 1802c: 230
648: importunus	Acromyrmex coronatus st. importunus 	Santschi, 1925a: 362 
649: inquirens	Atta (	Acromyrmex) mesonotalis var. inquirens Forel, 1914e: 11 
650: insinuator	Acromyrmex insinuator 	Schultz, Bekkevold & Boomsma, 1998: 466
651: insularis	Acromyrmex aspersus var. insularis 	Santschi, 1925d: 242 
652: inti	Acromyrmex octospinosus subsp. inti 	Wheeler, W.M. 1937c: 72 
653: jorgenseni	Acromyrmex (	Moellerius) fracticornis var. jorgenseni Forel, 1913l: 236 
654: laeviventris	Acromyrmex (	Moellerius) striatus var. laeviventris Santschi, 1925a: 388
655: landolti	Atta (	Acromyrmex) landolti Forel, 1885a: 357 
657: laticeps	Atta (	Acromyrmex) laticeps Emery, 1905c: 50
658: lillensis	Acromyrmex (	Moellerius) heyeri var. lillensis Santschi, 1925a: 386 
659: lobicornis	Atta (	Acromyrmex) lobicornis Emery, 1888c: 358 
661: lundii	Myrmica lundii 	Guérin-Méneville, 1838: 206 
662: medianus	Acromyrmex coronatus st. andicola var. medianus 	Santschi, 1925a: 367 
663: mediocris	Acromyrmex diabolicus var. mediocris 	Santschi, 1925d: 241 
664: meinerti	Atta (	Acromyrmex) moelleri st. meinerti Forel, 1893e: 599 
665: mesonotalis	Atta (	Acromyrmex) mesonotalis Emery, 1905c: 46
667: mesopotamicus	Acromyrmex (	Moellerius) mesopotamicus Gallardo, 1916d: 337
668: mixtus	Acromyrmex subterraneus var. mixtus 	Santschi, 1925a: 373 
669: modesta	Atta (	Acromyrmex) moelleri r. modesta Forel, 1901h: 49 
670: moelleri	Atta (	Acromyrmex) moelleri Forel, 1893e: 596 
671: molestans	Acromyrmex subterraneus st. molestans 	Santschi, 1925a: 373 
673: multituber	Acromyrmex (	Moellerius) balzani var. multituber Santschi, 1922b: 362 
675: muticinoda	Atta (	Acromyrmex) nigra r. muticinoda Forel, 1901e: 336 
677: myersi	Acromyrmex (	Moellerius) balzani subsp. myersi Weber, 1937: 408 
