Subfamily	Genus	Species	Subspecies	Current valid name
Agroecomyrmecinae	Tatuidris	kapasi		Tatuidris tatusia
Amblyoponinae	Amblyopone	australis	fortis	Amblyopone australis
Amblyoponinae	Amblyopone	australis	foveolata	Amblyopone australis
Amblyoponinae	Amblyopone	cephalotes	maculata	Amblyopone australis
Amblyoponinae	Amblyopone	cephalotes		Amblyopone australis
Amblyoponinae	Amblyopone	laevidens		Amblyopone australis
Amblyoponinae	Amblyopone	minor		Amblyopone australis
Amblyoponinae	Amblyopone	nana		Amblyopone australis
Amblyoponinae	Amblyopone	obscura		Amblyopone australis
Amblyoponinae	Myopopone	beccarii		Myopopone castanea
Amblyoponinae	Myopopone	castanea	bakeri	Myopopone castanea
Amblyoponinae	Myopopone	castanea	bugnioni	Myopopone castanea
Amblyoponinae	Myopopone	castanea	proxima	Myopopone castanea
Amblyoponinae	Myopopone	maculata		Myopopone castanea
Amblyoponinae	Myopopone	moelleri	striatifrons	Myopopone castanea
Amblyoponinae	Myopopone	moelleri		Myopopone castanea
Amblyoponinae	Myopopone	picea		Myopopone castanea
Amblyoponinae	Myopopone	rossi		Myopopone castanea
Amblyoponinae	Myopopone	rufula		Myopopone castanea
Amblyoponinae	Myopopone	similis		Myopopone castanea
Amblyoponinae	Myopopone	smithi		Myopopone castanea
Amblyoponinae	Myopopone	wollastoni		Myopopone castanea
Amblyoponinae	Mystrium	camillae	javana	Mystrium camillae
Amblyoponinae	Mystrium	fallax		Mystrium voeltzkowi
Amblyoponinae	Mystrium	oculatum		Mystrium camillae
Amblyoponinae	Mystrium	stadelmanni		Mystrium mysticum
Amblyoponinae	Prionopelta	bruchi		Prionopelta punctulata
Amblyoponinae	Prionopelta	churchilli		Prionopelta majuscula
Amblyoponinae	Prionopelta	mayri		Prionopelta punctulata
Amblyoponinae	Prionopelta	mocsaryi		Prionopelta opaca
Amblyoponinae	Prionopelta	poultoni		Prionopelta majuscula
Amblyoponinae	Prionopelta	simillima		Prionopelta majuscula
Amblyoponinae	Prionopelta	testacea		Prionopelta majuscula
Amblyoponinae	Stigmatomma	binodosus		Stigmatomma pallipes
Amblyoponinae	Stigmatomma	bruni	juergi	Stigmatomma bruni
Amblyoponinae	Stigmatomma	denticulatum	gracilicornis	Stigmatomma denticulatum
Amblyoponinae	Stigmatomma	elongata	barretoi	Stigmatomma elongatum
Amblyoponinae	Stigmatomma	elongata	minor	Stigmatomma elongatum
Amblyoponinae	Stigmatomma	elongatum	paranense	Stigmatomma elongatum
Amblyoponinae	Stigmatomma	gheorghieffi		Stigmatomma denticulatum
Amblyoponinae	Stigmatomma	mandibularis		Stigmatomma ferrugineum
Amblyoponinae	Stigmatomma	pallipes	arizonense	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	pallipes	montigena	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	pallipes	subterranea	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	pallipes	wheeleri	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	serratum		Stigmatomma pallipes
Amblyoponinae	Stigmatomma	tropicalis		Stigmatomma orizabanum
Amblyoponinae	Stigmatomma	williamsi		Stigmatomma luzonicum
Aneuretinae	Aneuretus	butteli		Aneuretus simoni
Dolichoderinae	Anonychomyrma	foetans		Anonychomyrma biconvexa
Dolichoderinae	Axinidris	parvus		Axinidris hypoclinoides
Dolichoderinae	Azteca	alfari	aequalis	Azteca ovaticeps
Dolichoderinae	Azteca	alfari	aequilata	Azteca ovaticeps
Dolichoderinae	Azteca	alfari	argentina	Azteca alfari
Dolichoderinae	Azteca	alfari	cecropiae	Azteca alfari
Dolichoderinae	Azteca	alfari	curtiscapa	Azteca alfari
Dolichoderinae	Azteca	alfari	langi	Azteca alfari
Dolichoderinae	Azteca	alfari	mixta	Azteca alfari
Dolichoderinae	Azteca	alfari	tuberosa	Azteca ovaticeps
Dolichoderinae	Azteca	alfaroi	fumaticeps	Azteca alfari
Dolichoderinae	Azteca	alfaroi	lucidula	Azteca alfari
Dolichoderinae	Azteca	bicolor		Azteca alfari
Dolichoderinae	Azteca	championi	breviscapa	Azteca alfari
Dolichoderinae	Azteca	chartifex	laticeps	Azteca chartifex
Dolichoderinae	Azteca	coeruleipennis	fasciata	Azteca velox
Dolichoderinae	Azteca	eiseni		Azteca forelii
Dolichoderinae	Azteca	emmae		Azteca constructor
Dolichoderinae	Azteca	fasciata	laeta	Azteca beltii
Dolichoderinae	Azteca	festai		Azteca trigona
Dolichoderinae	Azteca	fiebrigi		Azteca schimperi
Dolichoderinae	Azteca	foreli	championi	Azteca forelii
Dolichoderinae	Azteca	foreli	raptrix	Azteca forelii
Dolichoderinae	Azteca	foreli	ursina	Azteca forelii
Dolichoderinae	Azteca	foreli	xysticola	Azteca forelii
Dolichoderinae	Azteca	guianae		Azteca constructor
Dolichoderinae	Azteca	instabilis	major	Azteca instabilis
Dolichoderinae	Azteca	instabilis	mexicana	Azteca sericea
Dolichoderinae	Azteca	lacrymosa	silvae	Azteca aurita
Dolichoderinae	Azteca	lacrymosa		Azteca pilosula
Dolichoderinae	Azteca	lanuginosa	clariceps	Azteca schimperi
Dolichoderinae	Azteca	lanuginosa	pruinosa	Azteca lallemandi
Dolichoderinae	Azteca	longiceps	patruelis	Azteca pittieri
Dolichoderinae	Azteca	lynchi		Azteca alfari
Dolichoderinae	Azteca	muelleri	brunni	Azteca muelleri
Dolichoderinae	Azteca	muelleri	janeirensis	Azteca muelleri
Dolichoderinae	Azteca	muelleri	nigridens	Azteca muelleri
Dolichoderinae	Azteca	muelleri	pallida	Azteca schimperi
Dolichoderinae	Azteca	muelleri	wacketi	Azteca muelleri
Dolichoderinae	Azteca	nigella		Azteca muelleri
Dolichoderinae	Azteca	paraensis	surubrensis	Azteca gnava
Dolichoderinae	Azteca	pittieri	emarginatisquamis	Azteca pittieri
Dolichoderinae	Azteca	prorsa		Azteca longiceps
Dolichoderinae	Azteca	stolli		Azteca beltii
Dolichoderinae	Azteca	tonduzi	columbica	Azteca jelskii
Dolichoderinae	Azteca	ulei	gibbifera	Azteca muelleri
Dolichoderinae	Azteca	ulei	rossi	Azteca gnava
Dolichoderinae	Azteca	velox	nigriventris	Azteca velox
Dolichoderinae	Azteca	velox	rectinota	Azteca velox
Dolichoderinae	Azteca	virens		Azteca alfari
Dolichoderinae	Azteca	xanthochroa	costaricensis	Azteca xanthochroa
Dolichoderinae	Bothriomyrmex	adriacus	ionius	Bothriomyrmex communista
Dolichoderinae	Bothriomyrmex	corsicus	gallicus	Bothriomyrmex corsicus
Dolichoderinae	Bothriomyrmex	corsicus	ligurica	Bothriomyrmex corsicus
Dolichoderinae	Bothriomyrmex	corsicus	mohelensis	Bothriomyrmex communista
Dolichoderinae	Bothriomyrmex	menozzii		Bothriomyrmex corsicus
Dolichoderinae	Bothriomyrmex	meridionalis	adriaca	Bothriomyrmex communista
Dolichoderinae	Bothriomyrmex	meridionalis	gibbus	Bothriomyrmex corsicus
Dolichoderinae	Bothriomyrmex	meridionalis	hispanicus	Bothriomyrmex meridionalis
Dolichoderinae	Bothriomyrmex	rogeri		Bothriomyrmex saundersi
Dolichoderinae	Chronoxenus	minimum		Chronoxenus myops
Dolichoderinae	Dolichoderus	abietis		Dolichoderus sibiricus
Dolichoderinae	Dolichoderus	affinis	nigricans	Dolichoderus affinis
Dolichoderinae	Dolichoderus	analis		Dolichoderus quadridenticulatus
Dolichoderinae	Dolichoderus	arboricola		Dolichoderus bispinosus
Dolichoderinae	Dolichoderus	armstrongi		Dolichoderus reflexus
Dolichoderinae	Dolichoderus	atra		Dolichoderus cuspidatus
Dolichoderinae	Dolichoderus	attelaboides	pulla	Dolichoderus attelaboides
Dolichoderinae	Dolichoderus	auromaculatus		Dolichoderus bidens
Dolichoderinae	Dolichoderus	bidens	albatus	Dolichoderus spurius
Dolichoderinae	Dolichoderus	bidens	attenuatus	Dolichoderus bidens
Dolichoderinae	Dolichoderus	bidens	bahiana	Dolichoderus bidens
Dolichoderinae	Dolichoderus	bidens	inferior	Dolichoderus ferrugineus
Dolichoderinae	Dolichoderus	bifurcatus		Dolichoderus cuspidatus
Dolichoderinae	Dolichoderus	biolleyi		Dolichoderus schulzi
Dolichoderinae	Dolichoderus	bituberculata		Dolichoderus thoracicus
Dolichoderinae	Dolichoderus	bituberculatus	emarginata	Dolichoderus thoracicus
Dolichoderinae	Dolichoderus	borealis		Dolichoderus plagiatus
Dolichoderinae	Dolichoderus	capitatus		Dolichoderus decollatus
Dolichoderinae	Dolichoderus	championi	ornatus	Dolichoderus diversus
Dolichoderinae	Dolichoderus	championi	taeniatus	Dolichoderus diversus
Dolichoderinae	Dolichoderus	championi	trinidadensis	Dolichoderus diversus
Dolichoderinae	Dolichoderus	championi		Dolichoderus diversus
Dolichoderinae	Dolichoderus	cingulata		Dolichoderus lutosus
Dolichoderinae	Dolichoderus	cuspidatus	surbecki	Dolichoderus cuspidatus
Dolichoderinae	Dolichoderus	cuspidatus	tenuispina	Dolichoderus cuspidatus
Dolichoderinae	Dolichoderus	debilis	parabiotica	Dolichoderus debilis
Dolichoderinae	Dolichoderus	debilis	sieversi	Dolichoderus debilis
Dolichoderinae	Dolichoderus	decollatus	neglectus	Dolichoderus decollatus
Dolichoderinae	Dolichoderus	feae	caligatus	Dolichoderus feae
Dolichoderinae	Dolichoderus	feae	fuscus	Dolichoderus feae
Dolichoderinae	Dolichoderus	foveolatus		Dolichoderus scabridus
Dolichoderinae	Dolichoderus	fungosa		Dolichoderus bispinosus
Dolichoderinae	Dolichoderus	germaini	garbei	Dolichoderus diversus
Dolichoderinae	Dolichoderus	germaini	leviusculus	Dolichoderus diversus
Dolichoderinae	Dolichoderus	gibbifer	gibbosior	Dolichoderus gibbifer
Dolichoderinae	Dolichoderus	gibbosa		Dolichoderus quadridenticulatus
Dolichoderinae	Dolichoderus	gibbosus	gibbosoanalis	Dolichoderus quadridenticulatus
Dolichoderinae	Dolichoderus	gibbosus	integra	Dolichoderus quadridenticulatus
Dolichoderinae	Dolichoderus	gibbosus	nitidior	Dolichoderus quadridenticulatus
Dolichoderinae	Dolichoderus	glauerti		Dolichoderus parvus
Dolichoderinae	Dolichoderus	gracilis		Dolichoderus taprobanae
Dolichoderinae	Dolichoderus	grandii		Dolichoderus mesonotalis
Dolichoderinae	Dolichoderus	imbecillus	heterogaster	Dolichoderus attelaboides
Dolichoderinae	Dolichoderus	imbecillus		Dolichoderus attelaboides
Dolichoderinae	Dolichoderus	ingruens		Dolichoderus taprobanae
Dolichoderinae	Dolichoderus	lamellosa	missionensis	Dolichoderus lamellosus
Dolichoderinae	Dolichoderus	laminatus	luteiventris	Dolichoderus laminatus
Dolichoderinae	Dolichoderus	lutosus	nigriventris	Dolichoderus lutosus
Dolichoderinae	Dolichoderus	mariae	blatchleyi	Dolichoderus mariae
Dolichoderinae	Dolichoderus	mariae	davisi	Dolichoderus mariae
Dolichoderinae	Dolichoderus	mazaruni		Dolichoderus diversus
Dolichoderinae	Dolichoderus	modiglianii	rubescens	Dolichoderus modiglianii
Dolichoderinae	Dolichoderus	obscura		Dolichoderus satanus
Dolichoderinae	Dolichoderus	occidentalis		Dolichoderus formosus
Dolichoderinae	Dolichoderus	perditor		Dolichoderus bidens
Dolichoderinae	Dolichoderus	plagiatus	beutenmuelleri	Dolichoderus pustulatus
Dolichoderinae	Dolichoderus	plagiatus	inornatus	Dolichoderus plagiatus
Dolichoderinae	Dolichoderus	quadripunctatus	japonicus	Dolichoderus sibiricus
Dolichoderinae	Dolichoderus	quadripunctatus	unicolor	Dolichoderus quadripunctatus
Dolichoderinae	Dolichoderus	quadripunctatus	yoshiokae	Dolichoderus sibiricus
Dolichoderinae	Dolichoderus	scabridus	ruficornis	Dolichoderus scabridus
Dolichoderinae	Dolichoderus	schulzi	columbica	Dolichoderus schulzi
Dolichoderinae	Dolichoderus	sellaris		Dolichoderus thoracicus
Dolichoderinae	Dolichoderus	semirufus		Dolichoderus taprobanae
Dolichoderinae	Dolichoderus	simplex		Dolichoderus mesonotalis
Dolichoderinae	Dolichoderus	sinensis	atriceps	Dolichoderus sibiricus
Dolichoderinae	Dolichoderus	sinensis		Dolichoderus sibiricus
Dolichoderinae	Dolichoderus	spinicollis	ensiger	Dolichoderus mucronifer
Dolichoderinae	Dolichoderus	sulcaticeps	nigriventris	Dolichoderus sulcaticeps
Dolichoderinae	Dolichoderus	taprobanae	obscuripes	Dolichoderus taprobanae
Dolichoderinae	Dolichoderus	taprobanae	tonkina	Dolichoderus taprobanae
Dolichoderinae	Dolichoderus	taschenbergi	aterrimus	Dolichoderus taschenbergi
Dolichoderinae	Dolichoderus	taschenbergi	gagates	Dolichoderus taschenbergi
Dolichoderinae	Dolichoderus	taschenbergi	wheeleriella	Dolichoderus taschenbergi
Dolichoderinae	Dolichoderus	tristis		Dolichoderus clarki
Dolichoderinae	Dolichoderus	ursus		Dolichoderus abruptus
Dolichoderinae	Dolichoderus	vestita		Dolichoderus bispinosus
Dolichoderinae	Dorymyrmex	bicolor		Dorymyrmex tener donisthorpei
Dolichoderinae	Dorymyrmex	gallardoi		Dorymyrmex confusus
Dolichoderinae	Dorymyrmex	medeis		Dorymyrmex smithi
Dolichoderinae	Dorymyrmex	mucronatus		Dorymyrmex flavescens
Dolichoderinae	Dorymyrmex	pyramicus	nigra	Dorymyrmex flavus
Dolichoderinae	Dorymyrmex	tener	obscurior	Dorymyrmex tener donisthorpei
Dolichoderinae	Dorymyrmex	tener	pallidipes	Dorymyrmex antarcticus
Dolichoderinae	Forelius	anale		Forelius pruinosus
Dolichoderinae	Forelius	breviscapus	obscurata	Forelius breviscapus
Dolichoderinae	Forelius	chalybaeus	debenedettii	Forelius grandis
Dolichoderinae	Forelius	chalybaeus	minor	Forelius chalybaeus
Dolichoderinae	Forelius	chalybaeus	paucistricta	Forelius chalybaeus
Dolichoderinae	Forelius	chalybaeus	personata	Forelius chalybaeus
Dolichoderinae	Forelius	foetida		Forelius mccooki
Dolichoderinae	Forelius	maccooki	andrei	Forelius mccooki
Dolichoderinae	Forelius	maccooki	fiebrigi	Forelius brasiliensis
Dolichoderinae	Forelius	maccooki	instabilis	Forelius breviscapus
Dolichoderinae	Forelius	nigriventris	modesta	Forelius nigriventris
Dolichoderinae	Forelius	nigriventris	transiens	Forelius nigriventris
Dolichoderinae	Forelius	pruinosus	testaceus	Forelius pruinosus
Dolichoderinae	Forelius	rufus	pilipes	Forelius brasiliensis
Dolichoderinae	Forelius	tucumanus		Forelius pusillus
Dolichoderinae	Froggattella	kirbyi	bispinosa	Froggattella kirbii
Dolichoderinae	Froggattella	kirbyi	ianthina	Froggattella kirbii
Dolichoderinae	Froggattella	kirbyi	laticeps	Froggattella kirbii
Dolichoderinae	Froggattella	kirbyi	lutescens	Froggattella kirbii
Dolichoderinae	Froggattella	kirbyi	nigripes	Froggattella kirbii
Dolichoderinae	Iridomyrmex	aeneum		Iridomyrmex purpureus
Dolichoderinae	Iridomyrmex	albitarsus		Iridomyrmex calvus
Dolichoderinae	Iridomyrmex	anceps	formosae	Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	anceps	sikkimensis	Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	anceps	watsonii	Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	argutus		Iridomyrmex innocens
Dolichoderinae	Iridomyrmex	bicknelli	formosae	Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	bicknelli	splendidus	Iridomyrmex bicknelli
Dolichoderinae	Iridomyrmex	chasei	concolor	Iridomyrmex chasei
Dolichoderinae	Iridomyrmex	chasei	yalgooensis	Iridomyrmex chasei
Dolichoderinae	Iridomyrmex	detecta		Iridomyrmex purpureus
Dolichoderinae	Iridomyrmex	detectus	castrae	Iridomyrmex purpureus
Dolichoderinae	Iridomyrmex	discoidalis		Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	discors	aeneogaster	Iridomyrmex discors
Dolichoderinae	Iridomyrmex	discors	occipitalis	Iridomyrmex discors
Dolichoderinae	Iridomyrmex	domesticus		Iridomyrmex rufoniger
Dolichoderinae	Iridomyrmex	emeryi		Iridomyrmex victorianus
Dolichoderinae	Iridomyrmex	excisus		Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	gracilis	fusciventris	Iridomyrmex brunneus
Dolichoderinae	Iridomyrmex	gracilis	papuana	Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	gracilis		Iridomyrmex bicknelli
Dolichoderinae	Iridomyrmex	greensladei		Iridomyrmex purpureus
Dolichoderinae	Iridomyrmex	horni		Iridomyrmex purpureus
Dolichoderinae	Iridomyrmex	incertus		Iridomyrmex pallidus
Dolichoderinae	Iridomyrmex	mamillatus		Iridomyrmex rufoniger
Dolichoderinae	Iridomyrmex	meinerti		Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	mimulus		Iridomyrmex viridigaster
Dolichoderinae	Iridomyrmex	notialis		Iridomyrmex calvus
Dolichoderinae	Iridomyrmex	obscurus		Iridomyrmex suchieri
Dolichoderinae	Iridomyrmex	occiduus		Iridomyrmex innocens
Dolichoderinae	Iridomyrmex	parcens		Iridomyrmex victorianus
Dolichoderinae	Iridomyrmex	rufoniger	metallescens	Iridomyrmex anceps
Dolichoderinae	Iridomyrmex	septentrionalis		Iridomyrmex rufoniger
Dolichoderinae	Iridomyrmex	smithii		Iridomyrmex purpureus
Dolichoderinae	Iridomyrmex	variscapus		Iridomyrmex bigi
Dolichoderinae	Iridomyrmex	vicina		Iridomyrmex splendens
Dolichoderinae	Iridomyrmex	wingi		Iridomyrmex pallidus
Dolichoderinae	Leptomyrmex	contractus		Leptomyrmex melanoticus
Dolichoderinae	Leptomyrmex	darlingtoni	fascigaster	Leptomyrmex darlingtoni
Dolichoderinae	Leptomyrmex	darlingtoni	jucundus	Leptomyrmex darlingtoni
Dolichoderinae	Leptomyrmex	erythrocephalus	basirufus	Leptomyrmex rufithorax
Dolichoderinae	Leptomyrmex	erythrocephalus	brunneiceps	Leptomyrmex cnemidatus
Dolichoderinae	Leptomyrmex	erythrocephalus	clarki	Leptomyrmex erythrocephalus
Dolichoderinae	Leptomyrmex	erythrocephalus	decipiens	Leptomyrmex varians
Dolichoderinae	Leptomyrmex	erythrocephalus	mandibularis	Leptomyrmex erythrocephalus
Dolichoderinae	Leptomyrmex	erythrocephalus	unctus	Leptomyrmex erythrocephalus
Dolichoderinae	Leptomyrmex	erythrocephalus	venustus	Leptomyrmex cnemidatus
Dolichoderinae	Leptomyrmex	fragilis	femorata	Leptomyrmex fragilis
Dolichoderinae	Leptomyrmex	fragilis	maculata	Leptomyrmex fragilis
Dolichoderinae	Leptomyrmex	froggatti		Leptomyrmex erythrocephalus
Dolichoderinae	Leptomyrmex	gracillimus		Leptomyrmex fragilis
Dolichoderinae	Leptomyrmex	lugubris		Leptomyrmex niger
Dolichoderinae	Leptomyrmex	nigriventris	hackeri	Leptomyrmex tibialis
Dolichoderinae	Leptomyrmex	varians	angusticeps	Leptomyrmex varians
Dolichoderinae	Leptomyrmex	varians	quadricolor	Leptomyrmex rufipes
Dolichoderinae	Leptomyrmex	wheeleri		Leptomyrmex fragilis
Dolichoderinae	Leptomyrmex	wiburdi	pictus	Leptomyrmex wiburdi
Dolichoderinae	Linepithema	aspidocoptus		Linepithema leucomelas
Dolichoderinae	Linepithema	gallardoi		Linepithema inacatum
Dolichoderinae	Linepithema	humilis	arrogans	Linepithema humile
Dolichoderinae	Linepithema	humilis	breviscapa	Linepithema gallardoi
Dolichoderinae	Linepithema	humilis	platensis	Linepithema micans
Dolichoderinae	Linepithema	humilis	scotti	Linepithema micans
Dolichoderinae	Linepithema	impotens		Linepithema gallardoi
Dolichoderinae	Linepithema	iniquus	bicolor	Linepithema iniquum
Dolichoderinae	Linepithema	iniquus	nigellus	Linepithema iniquum
Dolichoderinae	Linepithema	keiteli	subfasciatus	Linepithema keiteli
Dolichoderinae	Linepithema	melleus	dominicensis	Linepithema iniquum
Dolichoderinae	Linepithema	melleus	fuscescens	Linepithema iniquum
Dolichoderinae	Linepithema	melleus	succineus	Linepithema iniquum
Dolichoderinae	Linepithema	melleus		Linepithema iniquum
Dolichoderinae	Linepithema	pordescens		Linepithema angulatum
Dolichoderinae	Linepithema	riograndensis		Linepithema humile
Dolichoderinae	Liometopum	austriaca		Liometopum microcephalum
Dolichoderinae	Liometopum	dentimandibulum		Liometopum sinense
Dolichoderinae	Liometopum	masonia		Liometopum apiculatum
Dolichoderinae	Liometopum	sinense	sericatum	Liometopum sinense
Dolichoderinae	Ochetellus	itoi	abbotti	Ochetellus glaber
Dolichoderinae	Ochetellus	itoi		Ochetellus glaber
Dolichoderinae	Ochetellus	rostrinotus		Ochetellus flavipes
Dolichoderinae	Papyrius	tuberculatus		Papyrius nitidus
Dolichoderinae	Philidris	nagasau	agnatus	Philidris nagasau
Dolichoderinae	Philidris	nagasau	alticola	Philidris nagasau
Dolichoderinae	Tapinoma	boreale	Provancher	Tapinoma sessile
Dolichoderinae	Tapinoma	boreale		Tapinoma sessile
Dolichoderinae	Tapinoma	breve		Tapinoma erraticum
Dolichoderinae	Tapinoma	caerulescens		Tapinoma erraticum
Dolichoderinae	Tapinoma	canalis		Tapinoma panamense
Dolichoderinae	Tapinoma	collina		Tapinoma erraticum
Dolichoderinae	Tapinoma	confusum		Tapinoma pygmaeum
Dolichoderinae	Tapinoma	dimmocki		Tapinoma sessile
Dolichoderinae	Tapinoma	dufouri		Tapinoma pygmaeum
Dolichoderinae	Tapinoma	eidmanni		Tapinoma antarcticum
Dolichoderinae	Tapinoma	erraticum	ambiguum	Tapinoma madeirense
Dolichoderinae	Tapinoma	erraticum	bononiensis	Tapinoma erraticum
Dolichoderinae	Tapinoma	familiaris		Tapinoma melanocephalum
Dolichoderinae	Tapinoma	fazi		Tapinoma antarcticum
Dolichoderinae	Tapinoma	glabrella		Tapinoma erraticum
Dolichoderinae	Tapinoma	gracile		Tapinoma demissum
Dolichoderinae	Tapinoma	gracilis		Tapinoma sessile
Dolichoderinae	Tapinoma	luteus	emeryi	Tapinoma luteum natalicum
Dolichoderinae	Tapinoma	magnum		Tapinoma nigerrimum
Dolichoderinae	Tapinoma	melanocephalum	australe	Tapinoma melanocephalum
Dolichoderinae	Tapinoma	melanocephalum	australis	Tapinoma melanocephalum
Dolichoderinae	Tapinoma	nana		Tapinoma melanocephalum
Dolichoderinae	Tapinoma	nigerrima	ibericum	Tapinoma nigerrimum
Dolichoderinae	Tapinoma	parva		Tapinoma sessile
Dolichoderinae	Tapinoma	pellucida		Tapinoma melanocephalum
Dolichoderinae	Tapinoma	simrothi	azerbeidzhanica	Tapinoma karavaievi
Dolichoderinae	Tapinoma	tauridis	transcaucasica	Tapinoma erraticum
Dolichoderinae	Tapinoma	tauridis		Tapinoma erraticum
Dolichoderinae	Technomyrmex	albipes	bruneipes	Technomyrmex albipes
Dolichoderinae	Technomyrmex	albipes	congolensis	Technomyrmex moerens
Dolichoderinae	Technomyrmex	albipes	cordiformis	Technomyrmex elatior
Dolichoderinae	Technomyrmex	albipes	foreli	Technomyrmex pallipes
Dolichoderinae	Technomyrmex	albipes	rufescens	Technomyrmex vitiensis
Dolichoderinae	Technomyrmex	albipes	truncicolus	Technomyrmex pallipes
Dolichoderinae	Technomyrmex	albipes	wedda	Technomyrmex albipes
Dolichoderinae	Technomyrmex	albitarse		Technomyrmex albipes
Dolichoderinae	Technomyrmex	allecta		Technomyrmex andrei
Dolichoderinae	Technomyrmex	andrei	schereri	Technomyrmex andrei
Dolichoderinae	Technomyrmex	atrichosus		Technomyrmex pallipes
Dolichoderinae	Technomyrmex	brevicornis		Technomyrmex pallipes
Dolichoderinae	Technomyrmex	detorquens		Technomyrmex albipes
Dolichoderinae	Technomyrmex	foreli	affinis	Technomyrmex pallipes
Dolichoderinae	Technomyrmex	forticulus		Technomyrmex albipes
Dolichoderinae	Technomyrmex	fulvum	sublucidum	Technomyrmex fulvus
Dolichoderinae	Technomyrmex	gowdeyi		Technomyrmex ilgi
Dolichoderinae	Technomyrmex	grandis	bandarensis	Technomyrmex grandis
Dolichoderinae	Technomyrmex	griseopubens		Technomyrmex lujae
Dolichoderinae	Technomyrmex	kohli		Technomyrmex laurenti
Dolichoderinae	Technomyrmex	laurenti	congolensis	Technomyrmex laurenti
Dolichoderinae	Technomyrmex	longiscapus		Technomyrmex moerens
Dolichoderinae	Technomyrmex	lujae	pulliceps	Technomyrmex lujae
Dolichoderinae	Technomyrmex	lujae	wasmanni	Technomyrmex lujae
Dolichoderinae	Technomyrmex	madecassus	fusciventris	Technomyrmex madecassus
Dolichoderinae	Technomyrmex	mayri	nitidulans	Technomyrmex difficilis
Dolichoderinae	Technomyrmex	modiglianii	angustior	Technomyrmex brunneus
Dolichoderinae	Technomyrmex	modiglianii	javanus	Technomyrmex modiglianii
Dolichoderinae	Technomyrmex	moerens	nigricans	Technomyrmex moerens
Dolichoderinae	Technomyrmex	nequitus		Technomyrmex moerens
Dolichoderinae	Technomyrmex	nequitus		Technomyrmex moerens
Dolichoderinae	Technomyrmex	niasensis		Technomyrmex wheeleri
Dolichoderinae	Technomyrmex	nigrum		Technomyrmex albipes
Dolichoderinae	Technomyrmex	primroseae		Technomyrmex pallipes
Dolichoderinae	Technomyrmex	setiferum	javanum	Technomyrmex pratensis
Dolichoderinae	Technomyrmex	setiferum		Technomyrmex pratensis
Dolichoderinae	Technomyrmex	smithi		Technomyrmex wheeleri
Dolichoderinae	Technomyrmex	stygium		Technomyrmex ilgi
Dolichoderinae	Technomyrmex	voeltzkowi	rhodesiae	Technomyrmex voeltzkowi
Dolichoderinae	Technomyrmex	wolfi		Technomyrmex andrei
Dolichoderinae	Technomyrmex	zimmeri	okiavoensis	Technomyrmex schoutedeni
Dolichoderinae	Technomyrmex	zumpti		Technomyrmex andrei
Dorylinae	Acanthostichus	laticornis	obscuridens	Acanthostichus laticornis
Dorylinae	Acanthostichus	ramosmexiae		Acanthostichus brevicornis
Dorylinae	Acanthostichus	serratulus	niger	Acanthostichus quadratus
Dorylinae	Acanthostichus	townsendi		Acanthostichus texanus
Dorylinae	Aenictus	aratus	asiatica	Aenictus aitkenii
Dorylinae	Aenictus	batesi		Aenictus decolor
Dorylinae	Aenictus	bengalensis	continuus	Aenictus pachycerus
Dorylinae	Aenictus	bengalensis	impressus	Aenictus aratus
Dorylinae	Aenictus	bengalensis		Aenictus pachycerus
Dorylinae	Aenictus	bidentatus		Aenictus decolor
Dorylinae	Aenictus	binghami	gatesi	Aenictus binghami
Dorylinae	Aenictus	ceylonicus	latro	Aenictus ceylonicus
Dorylinae	Aenictus	deuqueti		Aenictus turneri
Dorylinae	Aenictus	eugeniae	kenyensis	Aenictus eugenii
Dorylinae	Aenictus	exiguus		Aenictus turneri
Dorylinae	Aenictus	fergusoni	elongatus	Aenictus gracilis
Dorylinae	Aenictus	fergusoni	karawaiewi	Aenictus fergusoni
Dorylinae	Aenictus	fergusoni	montanus	Aenictus fergusoni
Dorylinae	Aenictus	fergusoni	piltzi	Aenictus fergusoni
Dorylinae	Aenictus	fergusoni	sundaica	Aenictus laeviceps
Dorylinae	Aenictus	greeni		Aenictus porizonoides
Dorylinae	Aenictus	laeviceps	smythiesii	Aenictus laeviceps
Dorylinae	Aenictus	martini	boelianensis	Aenictus gracilis
Dorylinae	Aenictus	martini		Aenictus gracilis
Dorylinae	Aenictus	papuanus		Aenictus ceylonicus
Dorylinae	Aenictus	similis		Aenictus ceylonicus
Dorylinae	Cerapachys	aegyptiacus		Cerapachys longitarsus
Dorylinae	Cerapachys	alfierii		Cerapachys longitarsus
Dorylinae	Cerapachys	arnoldi	hewitti	Cerapachys arnoldi
