Count	SpecimenCode	Subfamily	Genus	SpeciesGroup	Species	LifeStageSex	Medium	SpecimenNotes	DNANotes	LocatedAt	OwnedBy	TypeStatus	DeterminedBy	DateDetermined	CollectionCode	CollectedBy	DateCollectedStart	DateCollectedEnd	Method	Habitat	Microhabitat	CollectionNotes	LocalityName	Adm2	Adm1	Adm1check	ISO_3166	Country	Elevation	LatDeg	LatMin	NS	LonDeg	LonMin	EW	LocLatitude	LocLongitude	LatLonMaxError	BiogeographicRegion	LocalityNotes	ElevationMaxError	Blank
178	CASENT0221746	Ponerinae	Odontomachus		meinerti	1w	pin			PSWC	PSWC		Ward, P. S.			Olson, D. M.	1987-03-18					DMO224	La Selva		Heredia	1	CR	Costa Rica	50 m	10	26	N	83	59	W	10.43333	-83.98333	1 minute	Neotropical			
179	CASENT0221747	Ponerinae	Odontomachus		meinerti	1dq	pin			PSWC	PSWC		Ward, P. S.			Olson, D. M.	1987-03-14					DMO241	La Selva		Heredia	1	CR	Costa Rica	50 m	10	26	N	83	59	W	10.43333	-83.98333	1 minute	Neotropical			
180	CASENT0221748	Ponerinae	Odontomachus		meinerti	1w	pin			PSWC	PSWC		Ward, P. S.			Olson, D. M.	1987-08-26					DMO775	Cana		DariÃ©n	1	PA	Panama	500 m	7	43	N	77	42	W	7.71667	-77.70000	1 minute	Neotropical			
181	CASENT0221749	Ponerinae	Odontomachus		meinerti	1dq	pin			PSWC	PSWC		Ward, P. S.			Olson, D. M.	1987-08-23					DMO761	Cana		DariÃ©n	1	PA	Panama	800 m	7	43	N	77	42	W	7.71667	-77.70000	1 minute	Neotropical			
182	CASENT0221750	Ponerinae	Odontomachus		meinerti	1w	pin			PSWC	PSWC		Ward, P. S.		PSW11364-12	Ward, P. S.	1991-08-05			rainforest	sifted litter (leaf mold, rotten wood)		Jatun Sacha, 7 km ESE Pto. MisahuallÃ­		Napo	1	EC	Ecuador	400 m	1	4	S	77	37	W	-1.06667	-77.61667	1 minute	Neotropical			
183	CASENT0221751	Ponerinae	Odontomachus		meinerti	1w	pin			PSWC	PSWC		Ward, P. S.		PSW12174-03	Ward, P. S.	1993-11-27			tropical moist forest	sifted litter (leaf mold, rotten wood)		Aserradero Moira		Santa Cruz	1	BO	Bolivia	180 m	14	34	S	61	12	W	-14.56667	-61.20000	1 minute	Neotropical			
184	CASENT0221752	Ponerinae	Odontomachus		meinerti	1w	pin			PSWC	PSWC		Ward, P. S.		PSW12314-01	Ward, P. S.	1993-12-09			tropical moist forest	sifted litter (leaf mold, rotten wood)		10 km NW Terevinto		Santa Cruz	1	BO	Bolivia	380 m	17	40	S	63	27	W	-17.66667	-63.45000	1 minute	Neotropical			
185	CASENT0221753	Ponerinae	Odontomachus		meinerti	1dq, 1w	pin			PSWC	PSWC		Ward, P. S.		PSW16029-05	Ward, P. S.	2008-01-02			montane rainforest	sifted litter (leaf mold, rotten wood)		9 km S Yaruca		AtlÃ¡ntida	1	HN	Honduras	950 m	15	35	N	86	40.1	W	15.58333	-86.66833	0.1 minute	Neotropical			
186	CASENT0221754	Ponerinae	Odontomachus		meinerti	1dq	pin			PSWC	PSWC		Boudinot, B.E.	2013-10-31	PSW12459-18	Ward, P. S.	1993-12-27			park/garden	ex surface of pool		BarÃ£o Geraldo, Campinos		SÃ£o Paulo	1	BR	Brazil	600 m	22	48	S	47	4	W	-22.80000	-47.06667	1 minute	Neotropical			
187	CASENT0221755	Ponerinae	Odontomachus		opaciventris	1aq	pin			PSWC	PSWC		Ward, P. S.		PSW07349-02	Ward, P. S.	1985-03-20		at light	rainforest edge	at light		Los Tuxtlas, 10 km NNW Sontecomapan		Veracruz	1	MX	Mexico	200 m	18	35	N	95	5	W	18.58333	-95.08333	1 minute	Neotropical			
188	CASENT0221756	Ponerinae	Odontomachus		opaciventris	1aq	pin			PSWC	PSWC		Ward, P. S.		PSW03477	Ward, P. S.	1979-05-22						Monteverde		Puntarenas	1	CR	Costa Rica	1380 m							10.3	-84.78333	5 km	Neotropical	Georeferenced via Google Earth		
189	CASENT0221757	Ponerinae	Odontomachus		opaciventris	2w	pin			PSWC	PSWC		Ward, P. S.		PSW03439	Ward, P. S.	1979-05-20			montane rainforest	ex rotten log		Monteverde		Puntarenas	1	CR	Costa Rica	1550 m							10.3	-84.78333	5 km	Neotropical	Georeferenced via Google Earth		
190	CASENT0221758	Ponerinae	Odontomachus		opaciventris	2w	pin			PSWC	PSWC		Ward, P. S.		PSW10593	Ward, P. S.	1990-03-20			montane rainforest	ground foragers		6 km WNW Las Alturas		Puntarenas	1	CR	Costa Rica	1650 m	8	58	N	82	53	W	8.96667	-82.88333	1 minute	Neotropical			
191	CASENT0221759	Ponerinae	Odontomachus		opaciventris	1aq	pin			PSWC	PSWC		Ward, P. S.			Olson, D. M.	1992-04-13					DMO1012	Monteverde		Puntarenas	1	CR	Costa Rica	1560 m	10	18	N	84	47	W	10.30000	-84.78333	1 minute	Neotropical			
192	CASENT0221760	Ponerinae	Odontomachus		opaciventris	2w	pin			PSWC	PSWC		Ward, P. S.			Olson, D. M.	1987-08-22					DMO759	Cana		DariÃ©n	1	PA	Panama	1000 m	7	43	N	77	42	W	7.71667	-77.70000	1 minute	Neotropical			
193	CASENT0221761	Ponerinae	Odontomachus		ruginodis	1w	pin			PSWC	PSWC		Ward, P. S.		PSW05744	Ward, P. S.	1982-09-16			hardwood hammock	ground foragers		Watson Hammock, Big Pine Key	Miami-Dade Co.	Florida	1	US	United States	10 m							24.69289	-81.37071	5 km	Nearctic	Georeferenced via Google Earth		
194	CASENT0221762	Ponerinae	Odontomachus		ruginodis	1dq	pin			PSWC	PSWC		Ward, P. S.		PSW05768	Ward, P. S.	1982-09-17			edge of sand dunes	under coral		Bahia Honda Recreational Area 	Monroe Co.	Florida	1	US	United States	5 m							24.6601	-81.27367	2.5 km	Nearctic	Georeferenced via Google Earth		
195	CASENT0221763	Ponerinae	Odontomachus		ruginodis	2w	pin			PSWC	PSWC		Longino, J. T.		PSW06501-11	Ward, P. S.	1983-12-20			rainforest edge	on low vegetation		Manuel Antonio N.P.		Puntarenas	1	CR	Costa Rica	5 m	9	23	N	84	9	W	9.38333	-84.15000	1 minute	Neotropical			
196	CASENT0221764	Ponerinae	Odontomachus		ruginodis	2w	pin			PSWC	PSWC		Ward, P. S.		PSW15832	Ward, P. S.	2007-02-18			pine-oak forest	ex rotten log		Spanish Fort	Baldwin Co.	Alabama	1	US	United States	5 m	30	41	N	87	55.2	W	30.68333	-87.92000	0.1 minute	Nearctic			
197	CASENT0221765	Ponerinae	Odontomachus		ruginodis	2w	pin			PSWC	PSWC		Ward, P. S.		PSW09215	Ward, P. S.	1987-12-16			tropical dry forest	ex rotten log		Est. BiologÃ­a Chamela		Jalisco	1	MX	Mexico	100 m	19	30	N	105	2	W	19.50000	-105.03333	1 minute	Neotropical			
198	CASENT0221766	Ponerinae	Odontomachus		ruginodis	2w	pin			PSWC	PSWC		Ward, P. S.		PSW09255-01	Ward, P. S.	1987-12-18			tropical dry forest	sifted litter (leaf mold, rotten wood)		Est. BiologÃ­a Chamela		Jalisco	1	MX	Mexico	100 m	19	30	N	105	2	W	19.50000	-105.03333	1 minute	Neotropical			
199	CASENT0221767	Ponerinae	Odontomachus		ruginodis	1w	pin			PSWC	PSWC		Ward, P. S.		PSW12266-03	Ward, P. S.	1993-12-03			rainforest	sifted litter (leaf mold, rotten wood)		Las Gamas, P.N. Noel Kempff Mercado		Santa Cruz	1	BO	Bolivia	700 m	14	48	S	60	23	W	-14.80000	-60.38333	1 minute	Neotropical			
200	CASENT0221768	Ponerinae	Odontomachus		ruginodis	1w	pin	SL/HW = 1.176		PSWC	PSWC		Ward, P. S.		PSW08701-04	Ward, P. S.	1986-08-22			rainforest	sifted litter (leaf mold, rotten wood)		15 km WSW Yurimaguas		Loreto	1	PE	Peru	200 m	5	59	S	76	13	W	-5.98333	-76.21667	1 minute	Neotropical			
201	CASENT0221769	Ponerinae	Odontomachus		ruginodis	3w	pin			PSWC	PSWC		Ward, P. S.			MÃ¼ller, H. G.	1986-04-01				leaf litter		Bahia Cinto, P. N. Tayrona, 30 km E Santa Marta		Magdalena	1	CO	Colombia	100 m	11	20	N	74	4	W	11.33333	-74.06667	1 minute	Neotropical	elevation estimated from Google Earth		
202	CASENT0221770	Ponerinae	Odontomachus		ruginodis	2w	pin			PSWC	PSWC		Ward, P. S.			MÃ¼ller, H. G.	1985-06-13				leaf litter		Bahia Cinto, P. N. Tayrona, 30 km E Santa Marta		Magdalena	1	CO	Colombia	100 m	11	20	N	74	4	W	11.33333	-74.06667	1 minute	Neotropical	elevation estimated from Google Earth		
203	CASENT0221771	Ponerinae	Odontomachus		ruginodis	1w	pin			PSWC	PSWC		Ward, P. S.			MÃ¼ller, H. G.	1986-04-14			playa occidentale	leaf litter in littoral		Bahia Cinto, P. N. Tayrona, 30 km E Santa Marta		Magdalena	1	CO	Colombia	100 m	11	20	N	74	4	W	11.33333	-74.06667	1 minute	Neotropical	elevation estimated from Google Earth		
204	CASENT0221772	Ponerinae	Odontomachus		ruginodis	1w	pin			PSWC	PSWC		Ward, P. S.			MÃ¼ller, H. G.	1985-09-30				leaf litter		Bahia Cinto, P. N. Tayrona, 30 km E Santa Marta		Magdalena	1	CO	Colombia	100 m	11	21	N	74	5	W	11.35000	-74.08333	1 minute	Neotropical	elevation estimated from Google Earth		
205	CASENT0221773	Ponerinae	Odontomachus		ruginodis	1w	pin			PSWC	PSWC		Boudinot, B. E.	2013-10-31	PSW16009-01	Ward, P. S.	2007-12-30			littoral vegetation	ground foragers		0.4 km E Pumpkin Hill, Utila		Islas de la BahÃ­a	1	HN	Honduras	0 m	16	7.3	N	86	52.7	W	16.12167	-86.87833	0.1 minute	Neotropical			
206	CASENT0221774	Ponerinae	Odontomachus		ruginodis	2w	pin			PSWC	PSWC		Ward, P. S.		PSW12465-06	Ward, P. S.	1993-12-29			park/garden	ground foragers		BarÃ£o Geraldo, Campinos		SÃ£o Paulo	1	BR	Brazil	600 m	22	48	S	47	4	W	-22.80000	-47.06667	1 minute	Neotropical			
207	CASENT0221775	Ponerinae	Odontomachus		ruginodis	1aq	pin			PSWC	PSWC		Ward, P. S.		PSW12465-06	Ward, P. S.	1993-12-29			park/garden	ground foragers		BarÃ£o Geraldo, Campinos		SÃ£o Paulo	1	BR	Brazil	600 m	22	48	S	47	4	W	-22.80000	-47.06667	1 minute	Neotropical			
208	CASENT0221776	Ponerinae	Odontomachus		ruginodis	2w	pin			PSWC	PSWC		Ward, P. S.		PSW12476-03	Ward, P. S.	1993-12-30			cerrado	ground foragers		Faz. Campininha, Est. Ecol. Mogi GauÃ§u		SÃ£o Paulo	1	BR	Brazil	590 m	22	15	S	47	11	W	-22.25000	-47.18333	1 minute	Neotropical			
209	CASENT0221777	Ponerinae	Odontomachus		ruginodis	1dq	pin			PSWC	PSWC		Ward, P. S.			MÃ¼ller, H. G.	1985-06-12			mangrove island	leaf litter		Cienaga Grande de Sta Maria		Magdalena	1	CO	Colombia	20 m	10	50	N	74	25	W	10.83333	-74.41667	1 minute	Neotropical	elevation estimated from Google Earth		
210	CASENT0221544	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-06-04						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
211	CASENT0221545	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-05-14						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
212	CASENT0221546	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-05-18						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
213	CASENT0221547	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-05-07						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
214	CASENT0221548	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-07-14						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
215	CASENT0221549	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-12-03						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
216	CASENT0221550	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-12-23						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
217	CASENT0221551	Ponerinae	Odontomachus		bauri	3w	pin	specimens slightly damaged		UCDC	UCDC		Boudinot, B.E.	2013-10-29		Kimsey, R. B.; Kimsey, L. S.	1978-09-01						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
218	CASENT0221552	Ponerinae	Odontomachus		bauri	2w	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Kimsey, R. B.	1978-08-20						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
219	CASENT0221553	Ponerinae	Odontomachus		bauri	1w	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Toft, C.	1975-03-16						Pipeline Rd., 15 km N Gamboa		ColÃ³n	1	PA	Panama	80 m							9.21845	-79.78532	10 km	Neotropical	Georeference and elevational estimate via Google Earth		
220	CASENT0221554	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Daykin, M.	1971-07-16						Las Cumbres		PanamÃ¡	1	PA	Panama	200 m							9.09451	-79.5491	20 km	Neotropical	Georeference and elevational estimate via Google Earth		
221	CASENT0221555	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Wolda, H.	1980-05-25						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
222	CASENT0221556	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Irwin, M. E.	1961-06-21						Quezaltepeque		La Libertad	1	SV	El Salvador	500 m							13.83142	-89.26685	20 km	Neotropical	Georeference and elevational estimate via Google Earth		
223	CASENT0221557	Ponerinae	Odontomachus		bauri	3m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Clark, J.	1998-04-15		Malaise trap				San Juan del Sur		Rivas	1	NI	Nicaragua	50 m							11.25263	-85.86965	20 km	Neotropical	Georeference and elevational estimate via Google Earth		
224	CASENT0221558	Ponerinae	Odontomachus		bauri	1w	pin	Label locality reads "Rincon de Osa,  50 mi." 50 mi here interpreted as 50 m (elevation)		UCDC	UCDC		Boudinot, B.E.	2013-10-29		Peck, S.; Peck, J.	2001-06-23	2001-06-26	flight intercept trap			CR1P01 005	Rincon de Osa		Puntarenas	1	CR	Costa Rica	50 m							8.70804	-83.48707	20 km	Neotropical	Georeference and elevational estimate via Google Earth		
225	CASENT0221559	Ponerinae	Odontomachus		bauri	1w	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Brooks, R. W.; Grigarick, A. A.; McLaughlin, J.; Schuster, R. O.	1979-06-24						El Tucuco, Perija		Zulia	1	VE	Venezuela	600 m							9.75028	-72.50104	20 km	Neotropical	Georeference and elevational estimate via Google Earth		
226	CASENT0221560	Ponerinae	Odontomachus		bauri	1w	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Sugden, E. A.	1977-07-25						Golfito		Puntarenas	1	CR	Costa Rica	100 m							8.63923	-83.1624	20 km	Neotropical	Georeferenced via Google Earth		
227	CASENT0221561	Ponerinae	Odontomachus		bauri	1m	pin			UCDC	UCDC		Boudinot, B.E.	2013-10-29		Heydon, S. L.	2005-05-05	2005-05-11	blacklight				Monte Cristo River Lodge, 3 km SE Boca de SÃ¡balos		RÃ­o San Juan	1	NI	Nicaragua	50 m	11	1	N	84	27	W	11.01667	-84.45000	5 km	Neotropical			
228	CASENT0221562	Ponerinae	Odontomachus		bauri	1aq	pin			UCDC	UCDC		Boudinot, B.E.	2013-11-01		Wolda, H.	1980-02-13						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
229	CASENT0221563	Ponerinae	Odontomachus		bauri	1w	pin			UCDC	UCDC		Boudinot, B.E.	2013-11-01		Mallory, E.	1981-07-23						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
230	CASENT0221564	Ponerinae	Odontomachus		bauri	1aq	pin			UCDC	UCDC		Boudinot, B.E.	2013-11-01		Wolda, H.	1980-06-09						Barro Colorado Island		PanamÃ¡ Oeste	1	PA	Panama	80 m							9.15567	-79.84705	3 km	Neotropical	Georeference and elevational estimate via Google Earth		
231	CASENT0221565	Ponerinae	Odontomachus		bauri	1aq	pin			UCDC	UCDC		Boudinot, B.E.	2013-11-01		
6345	CASENT0106359	Leptanillinae	(Leptanillinae)		(indet)	1m	pin	elevation not given, but 30 "km" noted after date		UCDC	UCDC		Ward, P. S.	2017-00-00		ICGB joint LIPI-UCDavis Entomology Surv.	2011-11-25	2011-11-29	Malaise trap	forest		MT17	Kabupaten Kolaka, Mangolo Taman Nasional Rawa Aopa Watumohai, Mangolo River Watershed		Sulawesi Tenggara	1	ID	Indonesia		4	27.2	S	122	7.2	E	-4.45333	122.12000		Indomalaya			
6346	CASENT0106360	Leptanillinae	(Leptanillinae)		(indet)	1m	pin			UCDC	UCDC		Boudinot, B. E.	2017-00-00		Sears, T. A. & Binatung Brigade	2000-04-01	2000-04-20	Malaise trap				Tekadu		Morobe	1	PG	Papua New Guinea		7	38	S	146	34	E	-7.63333	146.56667		Australasia			
6347	CASENT0106361	Leptanillinae	Leptanilla		(indet)	1m	pin			UCDC	UCDC		Boudinot, B. E.	2013-12-09		Heydon, S. L.	2006-04-24		Malaise trap	riparian forest			Bandundu: Wamba, Kikongo Mission		Mai-Ndombe	1	CD	Democratic Republic of the Congo		4	16	S	17	11	E	-4.26667	17.18333		Afrotropical			
6348	CASENT0106362	Leptanillinae	Leptanilla		(indet)	1m	pin			UCDC	UCDC		Griebenow, Z. H.	2017-11-00		Heydon, S. L.; Fung, S.	1996-07-02	1996-07-05					Bogor		Jawa Barat	1	ID	Indonesia		6	35	S	106	47	E	-6.58333	106.78333		Indomalaya			

